"","Kecamatan","Kab.Kota","Kelas.Baik","Kelas.Rusak","Lab.Rusak.Ringan","Lab.Rusak","Perpus.Baik","Perpus.Rusak","Toilet.Guru.L.Baik","Toilet.Guru.L.Rusak","UKS.Baik","UKS.Rusak","Toilet.Guru.P.Baik","Toilet.Guru.P.Rusak","Toilet.Murid.L.Baik","Toilet.Murid.L.Rusak","Toilet.Murid.P.Baik","Toilet.Murid.P.Rusak"
"103","Kec. Suranenggala ","Cirebon",21,0,0,0,1,0,4,0,4,0,4,0,4,0,4,0
"104","Kec. Jamblang ","Cirebon",27,8,1,1,1,0,0,2,0,2,0,2,0,2,0,2
"105","Kec. ","Bogor",98,18,0,0,12,0,13,3,13,3,13,3,13,3,13,3
"106","Kec. ","Bogor",73,7,0,0,8,0,11,1,11,1,11,1,11,1,11,1
"107","Kec. ","Bogor",161,2,3,3,8,0,13,0,13,0,13,0,13,0,13,0
"108","Kec. ","Bogor",132,22,3,3,14,0,16,2,16,2,16,2,16,2,16,2
"109","Kec. ","Bogor",151,24,3,3,10,1,13,3,13,3,13,3,13,3,13,3
"110","Kec. Tanah Sareal ","Bogor",111,21,2,2,6,3,7,7,7,7,7,7,7,7,7,7
"111","Kec. Baros ","Sukabumi",9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"112","Kec. Citamiang ","Sukabumi",43,18,1,1,2,0,2,2,2,2,2,2,2,2,2,2
"113","Kec. Warudoyong ","Sukabumi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","Kec. Gunung Puyuh ","Sukabumi",64,0,1,1,5,0,7,1,7,1,7,1,7,1,7,1
"115","Kec. Cikole ","Sukabumi",133,0,0,0,9,0,15,3,15,3,15,3,15,3,15,3
"116","Kec. Cibeureum ","Sukabumi",38,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"117","Kec. Harjamukti ","Cirebon",58,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"118","Kec. Lemahwungkuk ","Cirebon",62,0,0,0,4,0,9,1,9,1,9,1,9,1,9,1
"119","Kec. Kesambi ","Cirebon",182,42,6,6,12,3,17,7,17,7,17,7,17,7,17,7
"120","Kec. Kejaksan ","Cirebon",97,0,0,0,6,0,9,3,9,3,9,3,9,3,9,3
"121","Kec. Pondokgede ","Bekasi",92,5,0,0,6,0,11,5,11,5,11,5,11,5,11,5
"122","Kec. Jatiasih ","Bekasi",169,0,0,0,12,1,15,6,15,6,15,6,15,6,15,6
"123","Kec. Bantargebang ","Bekasi",12,29,3,3,2,1,2,0,2,0,2,0,2,0,2,0
"124","Kec. Bekasi Timur ","Bekasi",189,21,7,7,13,1,13,11,13,11,13,11,13,11,13,11
"125","Kec. Bekasi Selatan ","Bekasi",218,20,1,1,13,0,27,3,27,3,27,3,27,3,27,3
"126","Kec. Bekasi Barat ","Bekasi",102,2,0,0,10,0,9,3,9,3,9,3,9,3,9,3
"127","Kec. Bekasi Utara ","Bekasi",183,2,0,0,13,0,17,3,17,3,17,3,17,3,17,3
"128","Kec. Jati Sampurna ","Bekasi",101,5,3,3,5,1,9,3,9,3,9,3,9,3,9,3
"129","Kec. Medan Satria ","Bekasi",138,21,7,7,9,2,12,6,12,6,12,6,12,6,12,6
"130","Kec. Rawalumbu ","Bekasi",120,35,4,4,9,1,11,5,11,5,11,5,11,5,11,5
"131","Kec. Mustika Jaya ","Bekasi",86,0,0,0,6,1,12,0,12,0,12,0,12,0,12,0
"132","Kec. Pondok Melati ","Bekasi",118,6,0,0,8,0,9,3,9,3,9,3,9,3,9,3
"133","Kec. Sawangan ","Depok",81,3,1,1,4,1,6,4,6,4,6,4,6,4,6,4
"134","Kec. Pancoran Mas ","Depok",175,25,6,6,14,2,16,7,16,7,16,7,16,7,16,7
"135","Kec. Sukmajaya ","Depok",142,4,4,4,9,1,13,3,13,3,13,3,13,3,13,3
"136","Kec. Cimanggis ","Depok",72,9,1,1,7,1,12,0,12,0,12,0,12,0,12,0
"137","Kec. Beji ","Depok",36,12,4,4,2,2,3,3,3,3,3,3,3,3,3,3
"138","Kec. Limo ","Depok",11,30,3,3,2,1,6,0,6,0,6,0,6,0,6,0
"139","Kec. Cipayung ","Depok",27,0,0,0,3,0,16,0,16,0,16,0,16,0,16,0
"140","Kec. Cilodong ","Depok",32,28,1,1,5,1,6,4,6,4,6,4,6,4,6,4
"141","Kec. Cinere ","Depok",51,0,0,0,4,0,4,0,4,0,4,0,4,0,4,0
"142","Kec. Tapos ","Depok",141,0,0,0,4,0,7,1,7,1,7,1,7,1,7,1
"143","Kec. Bojongsari ","Depok",45,30,2,2,3,1,6,2,6,2,6,2,6,2,6,2
"144","Kec. Talegong ","Garut",22,1,0,0,5,0,2,0,2,0,2,0,2,0,2,0
"145","Kec. Cisewu ","Garut",28,3,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"146","Kec. Bungbulang ","Garut",61,3,0,0,3,0,1,1,1,1,1,1,1,1,1,1
"147","Kec. Pakenjeng ","Garut",54,13,0,0,6,0,2,0,2,0,2,0,2,0,2,0
"148","Kec. Cikelet ","Garut",8,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"149","Kec. Pameungpeuk ","Garut",38,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0
"150","Kec. Cibalong ","Garut",19,10,2,2,4,1,1,1,1,1,1,1,1,1,1,1
"151","Kec. Cisompet ","Garut",18,16,1,1,4,2,4,0,4,0,4,0,4,0,4,0
"152","Kec. Peundeuy ","Garut",4,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"153","Kec. Singajaya ","Garut",29,0,0,0,2,0,4,0,4,0,4,0,4,0,4,0
"154","Kec. Cikajang ","Garut",50,3,1,1,2,1,6,4,6,4,6,4,6,4,6,4
"155","Kec. Banjarwangi ","Garut",12,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"156","Kec. Cilawu ","Garut",43,0,0,0,3,0,4,0,4,0,4,0,4,0,4,0
"157","Kec. Bayongbong ","Garut",8,36,4,4,0,1,0,2,0,2,0,2,0,2,0,2
"158","Kec. Cisurupan ","Garut",55,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"159","Kec. Samarang ","Garut",45,1,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"160","Kec. Garut ","Garut",20,46,4,4,2,2,2,6,2,6,2,6,2,6,2,6
"161","Kec. Karangpawitan ","Garut",77,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2
"162","Kec. Wanaraja ","Garut",9,24,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"163","Kec. Sukawening ","Garut",47,0,0,0,4,0,4,2,4,2,4,2,4,2,4,2
