"","Kecamatan","Kab.Kota","Kelas.Baik","Kelas.Rusak","Lab.Rusak.Ringan","Lab.Rusak","Perpus.Baik","Perpus.Rusak","Toilet.Guru.L.Baik","Toilet.Guru.L.Rusak","UKS.Baik","UKS.Rusak","Toilet.Guru.P.Baik","Toilet.Guru.P.Rusak","Toilet.Murid.L.Baik","Toilet.Murid.L.Rusak","Toilet.Murid.P.Baik","Toilet.Murid.P.Rusak"
"4800","Kec. Rinhat ","Malaka",14,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"4801","Kec. Io Kufeu ","Malaka",5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4802","Kec. Sasitamean ","Malaka",10,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1
"4803","Kec. Laenmanen ","Malaka",9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4804","Kec. Malaka Timur ","Malaka",34,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"4805","Kec. Kobalima Timur ","Malaka",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4806","Kec. Kobalima ","Malaka",54,0,0,0,5,0,2,0,2,0,2,0,2,0,2,0
"4807","Kec. Botin Leobele ","Malaka",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4808","Kec. Malaka Tengah ","Malaka",156,23,0,0,7,1,0,0,0,0,0,0,0,0,0,0
"4809","Kec. Aimere ","Ngada",0,24,2,2,0,1,1,3,1,3,1,3,1,3,1,3
"4810","Kec. Bajawa ","Ngada",96,8,0,0,3,0,3,1,3,1,3,1,3,1,3,1
"4811","Kec. Golewa ","Ngada",37,1,1,1,3,1,7,1,7,1,7,1,7,1,7,1
"4812","Kec. Golewa Barat ","Ngada",50,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"4813","Kec. Riung ","Ngada",9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4814","Kec. Riung Barat ","Ngada",15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4815","Kec. Soa ","Ngada",27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4816","Kec. Jerebuu ","Ngada",9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4817","Kec. Riung Selatan (Wolomeze) ","Ngada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4818","Kec. Inerie ","Ngada",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4819","Kec. Golewa Selatan ","Ngada",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4820","Kec. Alak ","Kupang",27,31,2,2,3,2,5,1,5,1,5,1,5,1,5,1
"4821","Kec. Maulafa ","Kupang",116,22,2,2,12,1,15,3,15,3,15,3,15,3,15,3
"4822","Kec. Oebobo ","Kupang",236,33,2,2,13,1,21,5,21,5,21,5,21,5,21,5
"4823","Kec. Kelapa Lima ","Kupang",99,6,5,5,4,1,5,3,5,3,5,3,5,3,5,3
"4824","Kec. ","Kupang",51,0,0,0,5,0,7,1,7,1,7,1,7,1,7,1
"4825","Kec. ","Kupang",35,15,2,2,2,1,3,1,3,1,3,1,3,1,3,1
"4826","Kec. Paga ","Sikka",24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"4827","Kec. Bola ","Sikka",15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4828","Kec. Talibura ","Sikka",23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4829","Kec. Kewapante ","Sikka",11,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"4830","Kec. Nita ","Sikka",24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4831","Kec. Alok ","Sikka",150,12,2,2,10,0,21,1,21,1,21,1,21,1,21,1
"4832","Kec. Waigete ","Sikka",11,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"4833","Kec. Waiblama ","Sikka",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4834","Kec. Alok Timur ","Sikka",50,13,3,3,3,2,5,1,5,1,5,1,5,1,5,1
"4835","Kec. Magependa ","Sikka",6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"4836","Kec. Hewokloang ","Sikka",12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4837","Kec. Kangae ","Sikka",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4838","Kec. Nangapanda ","Ende",15,7,1,1,1,1,0,2,0,2,0,2,0,2,0,2
"4839","Kec. Ende Selatan ","Ende",14,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"4840","Kec. Wolowaru ","Ende",31,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"4841","Kec. Maurole ","Ende",25,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"4842","Kec. Detusoko ","Ende",9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4843","Kec. Wewaria ","Ende",0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4844","Kec. Wolojita ","Ende",3,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"4845","Kec. Pulau Ende ","Ende",2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4846","Kec. Lio Timur ","Ende",5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"4847","Kec. Ende Utara ","Ende",30,43,2,2,2,1,3,3,3,3,3,3,3,3,3,3
"4848","Kec. Ende Tengah ","Ende",95,3,0,0,8,0,7,1,7,1,7,1,7,1,7,1
"4849","Kec. Ende Timur ","Ende",40,0,0,0,2,0,6,0,6,0,6,0,6,0,6,0
"4850","Kec. Miomafo Barat ","Timor Tengah Utara",19,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4851","Kec. Miomafo Timur ","Timor Tengah Utara",18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4852","Kec. ","Timor Tengah Utara",109,17,2,2,6,1,11,1,11,1,11,1,11,1,11,1
"4853","Kec. Insana ","Timor Tengah Utara",18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4854","Kec. Biboki Selatan ","Timor Tengah Utara",7,12,3,3,0,1,0,0,0,0,0,0,0,0,0,0
"4855","Kec. Biboki Utara ","Timor Tengah Utara",23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4856","Kec. Noemuti ","Timor Tengah Utara",22,0,0,0,2,0,4,0,4,0,4,0,4,0,4,0
"4857","Kec. Insana Utara ","Timor Tengah Utara",14,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"4858","Kec. Biboki Anleu ","Timor Tengah Utara",0,14,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"4859","Kec. Noemuti Timur ","Timor Tengah Utara",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4860","Kec. Miomafo Tengah ","Timor Tengah Utara",6,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"4861","Kec. Mutis ","Timor Tengah Utara",7,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"4862","Kec. Bikomi Tengah ","Timor Tengah Utara",2,10,2,2,0,2,0,0,0,0,0,0,0,0,0,0
"4863","Kec. Bikomi Nilulat ","Timor Tengah Utara",6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"4864","Kec. Bikomi Utara ","Timor Tengah Utara",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4865","Kec. Naibenu ","Timor Tengah Utara",4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4866","Kec. Insana Fafinesu ","Timor Tengah Utara",4,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"4867","Kec. Insana Barat ","Timor Tengah Utara",12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4868","Kec. Insana Tengah ","Timor Tengah Utara",24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4869","Kec. Biboki Tanpah ","Timor Tengah Utara",7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4870","Kec. Biboki Moenleu ","Timor Tengah Utara",10,6,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"4871","Kec. Tasifeto Barat ","Belu",80,47,4,4,5,1,1,3,1,3,1,3,1,3,1,3
"4872","Kec. ","Belu",87,32,1,1,5,1,2,3,2,3,2,3,2,3,2,3
"4873","Kec. Tasifeto Timur ","Belu",23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"4874","Kec. Lamakmen ","Belu",31,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"4875","Kec. Kakuluk Mesak ","Belu",18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4876","Kec. Rai Manuk ","Belu",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4877","Kec. Lasiolat ","Belu",8,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"4878","Kec. Atambua Barat ","Belu",73,19,1,1,6,1,1,1,1,1,1,1,1,1,1,1
"4879","Kec. Atambua Selatan ","Belu",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4880","Kec. Aesesa ","Nagakeo",76,24,3,3,6,0,5,3,5,3,5,3,5,3,5,3
"4881","Kec. Boawae ","Nagakeo",70,9,2,2,4,0,3,1,3,1,3,1,3,1,3,1
"4882","Kec. Keo Tengah ","Nagakeo",17,12,1,1,1,2,1,1,1,1,1,1,1,1,1,1
"4883","Kec. Mauponggo ","Nagakeo",19,19,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"4884","Kec. Nangaroro ","Nagakeo",14,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"4885","Kec. Wolowae ","Nagakeo",18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4886","Kec. Katiku Tana ","Sumba Tengah",41,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"4887","Kec. Mamboro ","Sumba Tengah",0,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"4888","Kec. Umbu Ratu Nggay Barat ","Sumba Tengah",15,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4889","Kec. Katiku Tana Selatan ","Sumba Tengah",18,19,4,4,0,2,0,0,0,0,0,0,0,0,0,0
"4890","Kec. Kodi ","Sumba Barat Daya",33,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"4891","Kec. Kodi Bangedo ","Sumba Barat Daya",12,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"4892","Kec. Loura ","Sumba Barat Daya",83,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"4893","Kec. Wewewa Barat ","Sumba Barat Daya",8,8,2,2,2,1,2,2,2,2,2,2,2,2,2,2
"4894","Kec. Wewewa Selatan ","Sumba Barat Daya",24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4895","Kec. Wewewa Timur ","Sumba Barat Daya",14,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"4896","Kec. Wewewa Utara ","Sumba Barat Daya",14,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4897","Kec. Kodi Utara ","Sumba Barat Daya",44,0,0,0,3,0,1,1,1,1,1,1,1,1,1,1
"4898","Kec. ","Sumba Barat Daya",63,0,0,0,4,0,4,0,4,0,4,0,4,0,4,0
"4899","Kec. Wewewa Tengah ","Sumba Barat Daya",41,0,0,0,3,0,1,1,1,1,1,1,1,1,1,1
"4900","Kec. Kodi Balaghar ","Sumba Barat Daya",9,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"4901","Kec. Satarmese ","Manggarai",39,17,0,0,4,0,5,1,5,1,5,1,5,1,5,1
"4902","Kec. Langke Rembong ","Manggarai",233,37,2,2,10,2,14,0,14,0,14,0,14,0,14,0
"4903","Kec. Ruteng ","Manggarai",73,0,0,0,4,0,4,0,4,0,4,0,4,0,4,0
"4904","Kec. Cibal ","Manggarai",69,5,0,0,3,1,3,1,3,1,3,1,3,1,3,1
"4905","Kec. Reok ","Manggarai",26,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4906","Kec. Satar Mese Barat ","Manggarai",6,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"4907","Kec. Rahong Utara ","Manggarai",44,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"4908","Kec. Lelak ","Manggarai",14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4909","Kec. Reok Barat ","Manggarai",14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4910","Kec. Cibal Barat ","Manggarai",23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"4911","Kec. Lewa ","Sumba Timur",19,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"4912","Kec. Paberiwai ","Sumba Timur",9,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"4913","Kec. Pahunga Lodu ","Sumba Timur",19,15,1,1,0,2,0,0,0,0,0,0,0,0,0,0
"4914","Kec. Rindi ","Sumba Timur",9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"4915","Kec. Pandawai ","Sumba Timur",21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4916","Kec. ","Sumba Timur",139,17,4,4,6,1,8,5,8,5,8,5,8,5,8,5
"4917","Kec. Haharu ","Sumba Timur",10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4918","Kec. Nggaha Ori Angu ","Sumba Timur",12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4919","Kec. Umalulu ","Sumba Timur",30,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"4920","Kec. Kahaungu Eti ","Sumba Timur",4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4921","Kec. Matawai La Pawu ","Sumba Timur",0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"4922","Kec. Wulla Waijelu ","Sumba Timur",13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4923","Kec. Kambera ","Sumba Timur",46,1,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"4924","Kec. Kanatang ","Sumba Timur",11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"4925","Kec. Lewa Tidahu ","Sumba Timur",1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4926","Kec. Loli ","Sumba Barat",41,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"4927","Kec. ","Sumba Barat",82,0,0,0,3,0,5,1,5,1,5,1,5,1,5,1
"4928","Kec. Wanokaka ","Sumba Barat",14,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"4929","Kec. Lamboya ","Sumba Barat",19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4930","Kec. Tana Righu ","Sumba Barat",14,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4931","Kec. Asologaima ","Jaya Wijaya",19,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"4932","Kec. Kurulu ","Jaya Wijaya",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4933","Kec. Yalengga ","Jaya Wijaya",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4934","Kec. Wamena ","Jaya Wijaya",53,46,4,4,8,2,2,2,2,2,2,2,2,2,2,2
"4935","Kec. Bolakme ","Jaya Wijaya",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4936","Kec. Hubikiak ","Jaya Wijaya",0,14,3,3,0,1,0,0,0,0,0,0,0,0,0,0
"4937","Kec. Muliama ","Jaya Wijaya",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4938","Kec. Uwapa ","Nabire",3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"4939","Kec. Wanggar ","Nabire",18,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"4940","Kec. Nabire ","Nabire",116,57,4,4,12,2,11,2,11,2,11,2,11,2,11,2
"4941","Kec. Napan ","Nabire",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4942","Kec. Makimi ","Nabire",9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4943","Kec. Teluk Kimi ","Nabire",3,8,2,2,0,1,0,0,0,0,0,0,0,0,0,0
"4944","Kec. Nabire Barat ","Nabire",14,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"4945","Kec. Yaro  ","Nabire",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4946","Kec. Waropen Bawah ","Waropen",0,22,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"4947","Kec. Ureifaisei ","Waropen",28,5,0,0,1,2,2,0,2,0,2,0,2,0,2,0
"4948","Kec. Supiori Selatan ","Supiori",4,3,0,0,1,1,2,0,2,0,2,0,2,0,2,0
"4949","Kec. Supiori Timur ","Supiori",21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"4950","Kec. Kepulauan Aruri ","Supiori",12,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"4951","Kec. Supiori Barat ","Supiori",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4952","Kec. Supiori Utara ","Supiori",11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4953","Kec. Waropen Atas ","Memberamo Raya",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4954","Kec. Mamberamo Ilir (hilir) ","Memberamo Raya",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4955","Kec. Mamberamo Tengah ","Memberamo Raya",1,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"4956","Kec. Mamberamo Ulu (hulu) ","Memberamo Raya",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4957","Kec. Benuki ","Memberamo Raya",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4958","Kec. Kenyam ","Nduga",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4959","Kec. Mbuwa ","Nduga",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4960","Kec. Mimika Barat ","Mimika",0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4961","Kec. Mimika Timur ","Mimika",5,11,0,0,1,0,5,1,5,1,5,1,5,1,5,1
"4962","Kec. Mimika Baru ","Mimika",133,16,2,2,10,1,6,0,6,0,6,0,6,0,6,0
"4963","Kec. Iwaka ","Mimika",0,20,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"4964","Kec. Wania ","Mimika",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4965","Kec. Jair ","Boven Digoel",1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4966","Kec. Mindiptana ","Boven Digoel",25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4967","Kec. Mandobo ","Boven Digoel",60,0,0,0,3,0,4,0,4,0,4,0,4,0,4,0
"4968","Kec. Kouh ","Boven Digoel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4969","Kec. Yaniruma ","Boven Digoel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4970","Kec. Edera ","Mappi",1,11,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"4971","Kec. Obaa ","Mappi",38,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"4972","Kec. Assue ","Mappi",14,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"4973","Kec. Citakmitak ","Mappi",6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4974","Kec. Ilaga kab. Puncak","Kec. Ilaga kab. Puncak",3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4975","Kec. Sinak kab. Puncak","Kec. Sinak kab. Puncak",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4976","Kec. Beoga kab. Puncak","Kec. Beoga kab. Puncak",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4977","Kec. Kaureh ","Jayapura",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4978","Kec. Kemtuk Gresi ","Jayapura",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4979","Kec. Nimboran ","Jayapura",0,17,4,4,0,1,0,0,0,0,0,0,0,0,0,0
"4980","Kec. Nimbokrang ","Jayapura",0,8,1,1,0,0,0,1,0,1,0,1,0,1,0,1
"4981","Kec. Demta ","Jayapura",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4982","Kec. Sentani Barat ","Jayapura",0,14,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"4983","Kec. Sentani ","Jayapura",71,37,8,8,7,3,8,6,8,6,8,6,8,6,8,6
"4984","Kec. Sentani Timur ","Jayapura",29,0,0,0,3,0,5,1,5,1,5,1,5,1,5,1
"4985","Kec. Yapsi ","Jayapura",10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"4986","Kec. Waibu ","Jayapura",2,12,2,2,1,2,0,2,0,2,0,2,0,2,0,2
"4987","Kec. Numfor Barat ","Biak Numfor",16,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"4988","Kec. Padaido ","Biak Numfor",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4989","Kec. Biak ","Biak Numfor",39,74,11,11,1,4,4,5,4,5,4,5,4,5,4,5
"4990","Kec. Samofa ","Biak Numfor",42,24,5,5,3,2,8,4,8,4,8,4,8,4,8,4
"4991","Kec. Yendidori ","Biak Numfor",14,8,2,2,2,2,0,2,0,2,0,2,0,2,0,2
"4992","Kec. Biak Utara ","Biak Numfor",15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4993","Kec. Warsa ","Biak Numfor",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4994","Kec. Biak Barat ","Biak Numfor",12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4995","Kec. Swandiwe ","Biak Numfor",10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4996","Kec. Bruyandori ","Biak Numfor",9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"4997","Kec. Oridek ","Biak Numfor",27,3,1,1,6,1,0,0,0,0,0,0,0,0,0,0
"4998","Kec. Kanggime ","Tolikara",7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4999","Kec. Karubaga ","Tolikara",0,20,4,4,0,2,0,2,0,2,0,2,0,2,0,2
"5000","Kec. Bokondini ","Tolikara",3,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"5001","Kec. Kembu ","Tolikara",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5002","Kec. Mapia ","Dogiyai",0,7,2,2,0,1,0,0,0,0,0,0,0,0,0,0
"5003","Kec. Kamu ","Dogiyai",11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5004","Kec. Tigi ","Deiyai",4,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"5005","Kec. Tigi Barat ","Deiyai",6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"5006","Kec. Sugapa ","Intan Jaya",9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5007","Kec. Muara Tami ","Jayapura",13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"5008","Kec. Abepura ","Jayapura",25,44,2,2,1,2,6,2,6,2,6,2,6,2,6,2
"5009","Kec. Jayapura Selatan ","Jayapura",81,10,3,3,6,2,9,0,9,0,9,0,9,0,9,0
"5010","Kec. Jayapura Utara ","Jayapura",88,0,0,0,4,0,6,2,6,2,6,2,6,2,6,2
"5011","Kec. Heram ","Jayapura",72,13,2,2,5,2,4,1,4,1,4,1,4,1,4,1
"5012","Kec. Oksibil ","Pegunungan Bintang",8,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"5013","Kec. Borme ","Pegunungan Bintang",0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5014","Kec. Okbibab ","Pegunungan Bintang",8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5015","Kec. Kiwirok ","Pegunungan Bintang",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5016","Kec. Atsy ","Asmat",11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5017","Kec. Agats ","Asmat",37,0,0,0,3,0,1,1,1,1,1,1,1,1,1,1
"5018","Kec. Kurima ","Yahukimo",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5019","Kec. Anggruk ","Yahukimo",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5020","Kec. Dekai ","Yahukimo",48,6,2,2,5,1,1,1,1,1,1,1,1,1,1,1
"5021","Kec. Paniai Timur ","Paniai",35,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"5022","Kec. Bibida ","Paniai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5023","Kec. Paniai Barat ","Paniai",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5024","Kec. Yatamo ","Paniai",0,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"5025","Kec. Kebo ","Paniai",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5026","Kec. Aradide ","Paniai",0,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0
"5027","Kec. Fawi ","Puncak Jaya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5028","Kec. Mulia ","Puncak Jaya",14,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"5029","Kec. Ilu ","Puncak Jaya",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5030","Kec. Makki ","Lanny Jaya",23,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"5031","Kec. Pirime ","Lanny Jaya",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5032","Kec. Tiom ","Lanny Jaya",24,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"5033","Kec. Balingga ","Lanny Jaya",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5034","Kec. Tiomneri ","Lanny Jaya",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5035","Kec. Kobakma ","Membramo Tengah",4,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0
"5036","Kec. Ilugwa ","Membramo Tengah",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5037","Kec. Kelila ","Membramo Tengah",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5038","Kec. Eragayam ","Membramo Tengah",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5039","Kec. Welarek ","Yalimo",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5040","Kec. Apalapsili ","Yalimo",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5041","Kec. Abenaho ","Yalimo",5,5,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"5042","Kec. Elelim ","Yalimo",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5043","Kec. Yapen Timur ","Kepulauan Yapen",2,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0
"5044","Kec. Yapen Selatan ","Kepulauan Yapen",56,56,6,6,3,2,4,4,4,4,4,4,4,4,4,4
"5045","Kec. Yapen Barat ","Kepulauan Yapen",1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5046","Kec. Poom ","Kepulauan Yapen",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5047","Kec. Kimaam ","Merauke",8,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"5048","Kec. Okaba ","Merauke",0,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"5049","Kec. Kurik ","Merauke",19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
