wilayah_id;kode_wilayah;nama;id_level_wilayah;mst_kode_wilayah
6d1a3e5b-75a1-4cf5-9f7b-16ef5a452681;52501;Kec. Pesanggaran              ;3;52500
69cb6c5c-3afc-410d-a557-b49a4824a49e;52502;Kec. Bangorejo                ;3;52500
fb2b72d6-6c72-4ca8-a50d-b54f09c7ded3;52503;Kec. Purwoharjo               ;3;52500
7d68d19f-3284-4c59-ac76-4c3fd07da937;52504;Kec. Tegaldlimo               ;3;52500
5554aed8-5933-4345-8793-56f8f1a8689c;52505;Kec. Muncar                   ;3;52500
bb7965fe-c1d5-4b84-a2a6-9c55334d5ebd;52506;Kec. Cluring                  ;3;52500
2b50baab-9696-43fb-b708-f23f9ea1d1be;52507;Kec. Gambiran                 ;3;52500
80470289-36f2-4ad3-8393-223d44bcf699;52508;Kec. Glenmore                 ;3;52500
1096d489-de72-45f2-bfa8-6c5484e98474;52509;Kec. Kalibaru                 ;3;52500
5756ad44-d510-4ec4-98ce-bce62b9e9d84;52510;Kec. Genteng                  ;3;52500
32ab1427-2449-4388-ac0d-5ff2dff36497;52511;Kec. Srono                    ;3;52500
24f35a09-39f2-4bb4-a485-d97c5c616f54;52512;Kec. Rogojampi                ;3;52500
9a74f8c5-0566-4019-af7d-f5af30e54fe1;52513;Kec. Kabat                    ;3;52500
c1a8e418-e176-44e1-ae58-3347818d1bb1;52514;Kec. Singojuruh               ;3;52500
01e267a6-3e61-4636-a706-4c420ef69454;52515;Kec. Sempu                    ;3;52500
a4c2b51b-6004-4242-b3d0-1719aba7b766;52516;Kec. Songgon                  ;3;52500
1f6d3538-5b89-46d5-b475-11fd4a5bc7e2;52517;Kec. Glagah                   ;3;52500
e1f566b4-71e5-4149-96bc-a6412281a2b7;52518;Kec. Banyuwangi               ;3;52500
4f9efe27-9f48-4042-bc05-b4e9157ab8ae;52519;Kec. Giri                     ;3;52500
8957df80-151f-4f1c-a792-5d3c8bc4e768;52520;Kec. Kalipuro                 ;3;52500
df1a05c2-47ed-4fd5-9dd9-dd8be09daac9;52521;Kec. Wongsorejo               ;3;52500
c1c1b624-74f1-4b99-a17e-d084f5413f71;52522;Kec. Licin                    ;3;52500
51e4bd52-1e9f-4cb3-891c-716b150206db;52523;Kec. Tegalsari                ;3;52500
4f416451-f886-4cd1-ad59-b7c8bc7576bc;52524;Kec. Siliragung               ;3;52500
b8765204-b721-4711-8034-949ec3461c42;52600;Kab. Pamekasan                ;2;50000
ac89cc12-1613-45d9-8e7c-14ee866db4d4;52601;Kec. Tlanakan                 ;3;52600
a04904a7-ea90-46b8-8257-964e65fc74aa;52602;Kec. Pademawu                 ;3;52600
8a226cab-c923-4dc4-bac7-da76737ca654;52603;Kec. Galis                    ;3;52600
6ef2578a-3803-402b-8822-a06c1d99634b;52604;Kec. Larangan                 ;3;52600
9c287bf5-ed34-442c-948d-164069013de3;52605;Kec. Pamekasan                ;3;52600
5ca032da-4bf5-4c88-85a7-381ffb8c7bf3;52606;Kec. Proppo                   ;3;52600
b94d118b-f085-4bf0-9cc1-b6436b3f3bde;52607;Kec. Palengaan                ;3;52600
79677667-b0c8-4a02-b913-315982eac8b4;52608;Kec. Pegantenan               ;3;52600
19a6127a-9b03-4edc-8c9e-9ad094416208;52609;Kec. Kadur                    ;3;52600
4bcc59fd-2812-4845-b636-71181aedb7b1;52610;Kec. Pakong                   ;3;52600
b8b9c827-f447-4894-b38c-089c965d2d54;52611;Kec. Waru                     ;3;52600
b670d487-5f53-484b-88ac-6299c54c34d0;52612;Kec. Batu Marmer              ;3;52600
bca7f255-8c1e-4644-84a2-8e7a73e45dff;52613;Kec. Pasean                   ;3;52600
90a54548-78e8-4711-a649-1717bd808cde;52700;Kab. Sampang                  ;2;50000
42ee13d9-6ad5-423d-ba10-935204ba0f0a;52701;Kec. Sreseh                   ;3;52700
d2539580-4463-48bb-a3e7-4ec1253e7e76;52702;Kec. Torjun                   ;3;52700
c452d705-c59f-478b-8894-9342503e829b;52703;Kec. Sampang                  ;3;52700
f8dd97d7-338d-4271-9a3d-98197dc355ff;52704;Kec. Camplong                 ;3;52700
