"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","UKS.RusakPerc","Perpus.RusakPerc","Toilet.RusakPerc"
"892","Kec. Bancar ","Tuban","Jawa Timur",0.7,1,1,0.25,0.75
"893","Kec. Grabagan ","Tuban","Jawa Timur",0.29,0,0,0,0
"894","Kec. Berbek ","Nganjuk","Jawa Timur",0.64,0,0.25,0,0.5
"895","Kec. Loceret ","Nganjuk","Jawa Timur",0.03,0,0.25,0,0.25
"896","Kec. Tanjunganom ","Nganjuk","Jawa Timur",0,0.22,0.3,0,0.3
"897","Kec. Prambon ","Nganjuk","Jawa Timur",0,0,0,1,0
"898","Kec. Ngronggot ","Nganjuk","Jawa Timur",0,1,0,0,0
"899","Kec. Kertosono ","Nganjuk","Jawa Timur",0.7,0.33,0.33,0.33,0.33
"900","Kec. Baron ","Nganjuk","Jawa Timur",0.12,0,0.5,0,0.5
"901","Kec. Gondang ","Nganjuk","Jawa Timur",0,0.33,0,0,0
"902","Kec. Sukomoro ","Nganjuk","Jawa Timur",0,0,0.25,0,0.5
"903","Kec. Nganjuk ","Nganjuk","Jawa Timur",0.04,0,0.14,0,0.3
"904","Kec. Kencong ","Jember","Jawa Tengah",0.89,1,1,0.5,0.75
"905","Kec. Gumuk Mas ","Jember","Jawa Tengah",0,0,0.33,0,0.5
"906","Kec. Wuluhan ","Jember","Jawa Tengah",0,0.33,0,0,0
"907","Kec. Ambulu ","Jember","Jawa Tengah",0,0,0.11,0,0.12
"908","Kec. Mayang ","Jember","Jawa Tengah",0,0,0.5,0,0.5
"909","Kec. Rambipuji ","Jember","Jawa Tengah",0.14,0,0.33,0,0.25
"910","Kec. Balung ","Jember","Jawa Tengah",0,0,0.12,0,0.25
"911","Kec. Umbulsari ","Jember","Jawa Tengah",0.26,0,0,1,0
"912","Kec. Jombang ","Jember","Jawa Tengah",0,1,1,0,0.5
"913","Kec. Tanggul ","Jember","Jawa Tengah",0.24,0,0.29,0,0.5
"914","Kec. Panti ","Jember","Jawa Tengah",0.11,0,0.5,0,0.5
"915","Kec. Arjasa ","Jember","Jawa Tengah",0,0,0.25,0,0.5
"916","Kec. Kalisat ","Jember","Jawa Tengah",0.21,0,0.2,0,0.25
"917","Kec. Sumberjambe ","Jember","Jawa Tengah",0,0,0.25,0,0.5
"918","Kec. Sukowono ","Jember","Jawa Tengah",0,0,0.25,0,0.25
"919","Kec. Kaliwates ","Jember","Jawa Tengah",0.25,0.12,0.3,0.18,0.6
"920","Kec. Sumbersari ","Jember","Jawa Tengah",0.29,0.35,0.35,0.22,0.33
"921","Kec. Patrang ","Jember","Jawa Tengah",0.31,0.2,0.33,0.5,0.33
"922","Kec. Bangorejo ","Banyuwangi","Jawa Tengah",0,0,0.2,0,0.5
"923","Kec. Purwoharjo ","Banyuwangi","Jawa Tengah",0.11,0,0.2,0,0.33
"924","Kec. Muncar ","Banyuwangi","Jawa Tengah",0,0.2,0.2,0,0.25
"925","Kec. Cluring ","Banyuwangi","Jawa Tengah",0,0.5,0.5,0,0.5
"926","Kec. Gambiran ","Banyuwangi","Jawa Tengah",0,0,0.25,0,0.25
"927","Kec. Glenmore ","Banyuwangi","Jawa Tengah",0.76,1,1,0.5,0.5
"928","Kec. Genteng ","Banyuwangi","Jawa Tengah",0.01,0,0.21,0,0.21
"929","Kec. Srono ","Banyuwangi","Jawa Tengah",0.12,0,0.33,0.2,0.38
"930","Kec. Rogojampi ","Banyuwangi","Jawa Tengah",0.77,0.8,0.8,0.33,1
"931","Kec. ","Banyuwangi","Jawa Tengah",0,0,1,0,0.5
"932","Kec. Songgon ","Banyuwangi","Jawa Tengah",1,1,1,1,0.5
"933","Kec. Glagah ","Banyuwangi","Jawa Tengah",1,1,1,1,0.5
"934","Kec. Banyuwangi ","Banyuwangi","Jawa Tengah",0.1,0,0.2,0,0.3
"935","Kec. Wongsorejo ","Banyuwangi","Jawa Tengah",0,0,0.25,0,0.25
"936","Kec. Siliragung ","Banyuwangi","Jawa Tengah",0,0,0.33,0,0.5
"937","Kec. Bandar ","Pacitan","Jawa Timur",0.33,0,0,0,0
"938","Kec. Tegalombo ","Pacitan","Jawa Timur",0,0,0.25,1,0.5
"939","Kec. Tulakan ","Pacitan","Jawa Timur",0,0.33,0,0,0
"940","Kec. Ngadirojo ","Pacitan","Jawa Timur",0.63,0.8,0.67,1,1
"941","Kec. Kepung ","Kediri","Jawa Tengah",0.19,0.25,0,0,0
"942","Kec. Puncu ","Kediri","Jawa Tengah",0.2,0,0,0,0
"943","Kec. Wates ","Kediri","Jawa Tengah",0.18,0,0.25,0,0.25
"944","Kec. Kandat ","Kediri","Jawa Tengah",0.74,0.5,0.67,1,1
"945","Kec. Ngadiluwih ","Kediri","Jawa Tengah",0,0.4,0.25,0,0.5
"946","Kec. Mojo ","Kediri","Jawa Tengah",0.15,0.2,0.33,0.5,0.5
"947","Kec. Tarokan ","Kediri","Jawa Tengah",1,0,0,0,0
"948","Kec. Grogol ","Kediri","Jawa Tengah",0.05,0,0,0,0
"949","Kec. Plemahan ","Kediri","Jawa Tengah",0,0,0.25,0,0.25
"950","Kec. Pare ","Kediri","Jawa Tengah",0.11,0.25,0.25,0.17,0.2
"951","Kec. Kandangan ","Kediri","Jawa Tengah",0.63,1,1,0,1
"952","Kec. Badas ","Kediri","Jawa Tengah",1,0,0,1,0
"953","Kec. Candipuro ","Lumajang","Jawa Tengah",0.16,0,0,0,0
"954","Kec. Pasirian ","Lumajang","Jawa Tengah",0.3,0,0,1,0
"955","Kec. Kunir ","Lumajang","Jawa Tengah",0,0,0.25,0,0.25
"956","Kec. Yosowilangun ","Lumajang","Jawa Tengah",0,0,0.2,0,0.25
"957","Kec. Lumajang ","Lumajang","Jawa Tengah",0.06,0,0.06,0.09,0.05
"958","Kec. Klakah ","Lumajang","Jawa Tengah",0,0,0.25,0,0.5
"959","Kec. Tamanan ","Bondowoso","Jawa Tengah",0,0,0.25,0,0.5
