"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","UKS.RusakPerc","Perpus.RusakPerc","Toilet.RusakPerc"
"1911","Kec. Anak Tuha ","Lampung Tengah","Kalimantan Timur",0,0,0.4,0,0.33
"1912","Kec. Bumi Nabung ","Lampung Tengah","Kalimantan Timur",0,0,0.4,0,0.5
"1913","Kec. ","Lampung Tengah","Kalimantan Timur",0,0,0.29,0,0.4
"1914","Kec. Anak Ratu Aji ","Lampung Tengah","Kalimantan Timur",0.14,0,0,1,0
"1915","Kec. Metro Kibang ","Lampung Timur","Kalimantan Timur",0.13,0,0,0.5,0
"1916","Kec. Sekampung ","Lampung Timur","Kalimantan Timur",0.09,0.08,0.15,0.2,0.25
"1917","Kec. Margatiga ","Lampung Timur","Kalimantan Timur",0.26,0.33,0.33,0.25,0.5
"1918","Kec. Sekampung Udik ","Lampung Timur","Kalimantan Timur",0.78,0.8,0.86,0.75,1
"1919","Kec. Jabung ","Lampung Timur","Kalimantan Timur",0.14,0,0,0.33,0
"1920","Kec. Labuhan Maringgai ","Lampung Timur","Kalimantan Timur",0,0,0.2,0,0.5
"1921","Kec. Way Jepara ","Lampung Timur","Kalimantan Timur",0.36,0.5,0.62,0.33,0.5
"1922","Kec. Sukadana ","Lampung Timur","Kalimantan Timur",0,0,0.2,0,0.5
"1923","Kec. Pekalongan ","Lampung Timur","Kalimantan Timur",0,0,0.33,0,0.33
"1924","Kec. Purbolinggo ","Lampung Timur","Kalimantan Timur",0,0.33,0.2,0,0.2
"1925","Kec. Braja Selebah ","Lampung Timur","Kalimantan Timur",0,0,0.5,0,0.25
"1926","Kec. Bandar Sribhawono ","Lampung Timur","Kalimantan Timur",0.32,0.4,0.4,0.5,0.5
"1927","Kec. Melinting ","Lampung Timur","Kalimantan Timur",0.17,0,0.25,0,0.5
"1928","Kec. Gunung Pelindung ","Lampung Timur","Kalimantan Timur",0.25,0,0.8,0.75,1
"1929","Kec. Waway Karya ","Lampung Timur","Kalimantan Timur",0.11,0,0,0,0
"1930","Kec. Labuhan Ratu ","Lampung Timur","Kalimantan Timur",0,0,0.29,0,0.5
"1931","Kec. Way Bungur ","Lampung Timur","Kalimantan Timur",0,1,0,0,0
"1932","Kec. Banjit ","Way Kanan","Kepulauan Riau",0.24,0.2,0.2,0.2,0.17
"1933","Kec. Baradatu ","Way Kanan","Kepulauan Riau",0.03,0,0.17,0,0.25
"1934","Kec. Kasui ","Way Kanan","Kepulauan Riau",0.36,0.4,0.25,0.5,0.5
"1935","Kec. Blambangan Umpu ","Way Kanan","Kepulauan Riau",0,0,0.12,0,0.12
"1936","Kec. Pakuan Ratu ","Way Kanan","Kepulauan Riau",0.5,0.33,0.5,0.75,0.4
"1937","Kec. Gunung Labuhan ","Way Kanan","Kepulauan Riau",0.6,0,0.2,0.5,0.5
"1938","Kec. Rebang Tangkas ","Way Kanan","Kepulauan Riau",0.38,0.6,0,0.5,0
"1939","Kec. Way Tuba ","Way Kanan","Kepulauan Riau",0,0,0.25,0,0.5
"1940","Kec. Negeri Agung ","Way Kanan","Kepulauan Riau",0.13,0,0.08,0,0.5
"1941","Kec. Negara Batin ","Way Kanan","Kepulauan Riau",0.15,0.12,0.12,0.25,0.5
"1942","Kec. Negeri Besar ","Way Kanan","Kepulauan Riau",0,0,0.33,0,0.5
"1943","Kec. Buay Bahuga ","Way Kanan","Kepulauan Riau",0,0,0.14,0.5,0.5
"1944","Kec. Banjar Agung ","Tulang Bawang","Kalimantan Utara",0,0,0.2,0,0.33
"1945","Kec. Menggala ","Tulang Bawang","Kalimantan Utara",0.24,0.22,0.3,0.14,0.75
"1946","Kec. Penawartama ","Tulang Bawang","Kalimantan Utara",0.82,1,1,1,1
"1947","Kec. Rawajitu Selatan ","Tulang Bawang","Kalimantan Utara",0.38,0,0,0,0
"1948","Kec. Banjar Margo ","Tulang Bawang","Kalimantan Utara",0.86,1,1,0.5,0.5
"1949","Kec. Rawa Pitu ","Tulang Bawang","Kalimantan Utara",1,0,0,0,0
"1950","Kec. Gedung AJI Baru ","Tulang Bawang","Kalimantan Utara",0.5,1,1,0.5,1
"1951","Kec. Dente Teladas ","Tulang Bawang","Kalimantan Utara",0.07,0,0,0.25,0
"1952","Kec. Wonosobo ","Tanggamus","Kalimantan Utara",0.93,1,1,1,1
"1953","Kec. ","Tanggamus","Kalimantan Utara",0.05,0,0.22,0,0.33
"1954","Kec. Talang Padang ","Tanggamus","Kalimantan Utara",0.33,0.67,0.6,0.5,0.75
"1955","Kec. Semaka ","Tanggamus","Kalimantan Utara",0,0,0.33,0,0.5
"1956","Kec. Ulu Belu ","Tanggamus","Kalimantan Utara",0,0,0.14,0,0.25
"1957","Kec. Gisting ","Tanggamus","Kalimantan Utara",0,0,0.25,0,0.5
"1958","Kec. Gunung Alip ","Tanggamus","Kalimantan Utara",0,0,0.25,0,0.5
"1959","Kec. Bulok ","Tanggamus","Kalimantan Utara",0,0,0.25,0,0.5
"1960","Kec. Bukit Kemuning ","Lampung Utara","Kalimantan Timur",0,0,0.14,0,0.5
"1961","Kec. Tanjung Raja ","Lampung Utara","Kalimantan Timur",0.28,0.4,0.25,0.5,0.25
"1962","Kec. Abung Barat ","Lampung Utara","Kalimantan Timur",0,0,0.5,0,0.5
"1963","Kec. ","Lampung Utara","Kalimantan Timur",0.65,1,1,0.5,1
"1964","Kec. Abung Selatan ","Lampung Utara","Kalimantan Timur",0.67,0.67,0.5,0.33,0.5
"1965","Kec. Abung Timur ","Lampung Utara","Kalimantan Timur",0.18,0,0,0,0
"1966","Kec. Sungkai Selatan ","Lampung Utara","Kalimantan Timur",0,0,0.33,0,0.5
"1967","Kec. Sungkai Utara ","Lampung Utara","Kalimantan Timur",0.88,0.75,0.67,0.5,1
"1968","Kec. Abung Tinggi ","Lampung Utara","Kalimantan Timur",0.19,0,0.33,0.33,0.5
"1969","Kec. ","Lampung Utara","Kalimantan Timur",0.4,0.38,0.47,0.46,0.5
"1970","Kec. Abung Surakarta ","Lampung Utara","Kalimantan Timur",0.75,0,0,0,0
"1971","Kec. Sungkai Tengah ","Lampung Utara","Kalimantan Timur",1,0,0,0,0
"1972","Kec. Abung Kunang ","Lampung Utara","Kalimantan Timur",0.29,0,0,0,0
"1973","Kec. Blambangan Pagar ","Lampung Utara","Kalimantan Timur",0,0,0.5,0,0.25
"1974","Kec. Balik Bukit ","Lampung Barat","Kalimantan Timur",0,0,0.25,0,0.33
"1975","Kec. Belalau ","Lampung Barat","Kalimantan Timur",0,0,0.25,0,0.5
"1976","Kec. Sumber Jaya ","Lampung Barat","Kalimantan Timur",0,0,0.33,0,0.5
"1977","Kec. Sekincau ","Lampung Barat","Kalimantan Timur",1,1,0,1,0
"1978","Kec. Waytenong ","Lampung Barat","Kalimantan Timur",0.71,0.4,0,0.5,0
"1979","Kec. Sukau ","Lampung Barat","Kalimantan Timur",0.25,0.14,0.25,0,0.5
"1980","Kec. Bandar Negeri Suoh ","Lampung Barat","Kalimantan Timur",0,0.67,0,0.5,0
"1981","Kec. Teluk Betung Barat ","Bandar Lampung","Kalimantan Timur",0,0,0.2,0,0.25
"1982","Kec. Teluk Betung Selatan ","Bandar Lampung","Kalimantan Timur",0.8,0.5,0.56,1,0.83
"1983","Kec. Teluk Betung Utara ","Bandar Lampung","Kalimantan Timur",0.69,0.44,0.29,0.5,0.33
"1984","Kec. Tanjung Karang Pusat ","Bandar Lampung","Kalimantan Timur",0.03,0.14,0.05,0.12,0.06
"1985","Kec. Sukarame ","Bandar Lampung","Kalimantan Timur",0.5,0.5,0.4,0.5,0.5
"1986","Kec. Kemiling ","Bandar Lampung","Kalimantan Timur",0.11,0.06,0.19,0.22,0.33
"1987","Kec. Rajabasa ","Bandar Lampung","Kalimantan Timur",0,0.09,0.12,0,0.23
"1988","Kec. Tanjung Senang ","Bandar Lampung","Kalimantan Timur",0,0,0.09,0,0.12
"1989","Kec. Labuhan Ratu ","Bandar Lampung","Kalimantan Timur",0.26,0.5,0.36,0.5,0.5
"1990","Kec. Enggal ","Bandar Lampung","Kalimantan Timur",0.09,0.38,0.27,0.17,0.19
"1991","Kec. Bumi Waras ","Bandar Lampung","Kalimantan Timur",0,0,1,0,0.25
"1992","Kec. Teluk Betung Timur ","Bandar Lampung","Kalimantan Timur",0,0,0.33,0,0.5
"1993","Kec. Metro Pusat ","Metro","Kalimantan Timur",0.12,0,0,0.25,0
"1994","Kec. Metro Utara ","Metro","Kalimantan Timur",0.26,0,0,0,0
"1995","Kec. Metro Barat ","Metro","Kalimantan Timur",0,0,0.26,0.25,0.56
"1996","Kec. Metro Timur ","Metro","Kalimantan Timur",0.45,0.33,0.23,0.4,0.38
"1997","Kec. Padang Cermin ","Pesawaran","Kalimantan Timur",0.05,0.25,0.18,0.25,0.33
"1998","Kec. Gedung Tataan ","Pesawaran","Kalimantan Timur",0.38,0.75,0.5,0.5,0.33
"1999","Kec. Tegineneng ","Pesawaran","Kalimantan Timur",0.41,0.5,0.57,0.25,0.67
"2000","Kec. Marga Punduh ","Pesawaran","Kalimantan Timur",0.04,0,0.2,0,0.5
"2001","Kec. Way Khilau ","Pesawaran","Kalimantan Timur",1,0.67,0,1,0
"2002","Kec. Pagelaran ","Pringsewu","Kalimantan Utara",0.08,0.09,0.29,0,0.5
"2003","Kec. Sukoharjo ","Pringsewu","Kalimantan Utara",0,0,0.25,0,0.5
"2004","Kec. Pringsewu ","Pringsewu","Kalimantan Utara",0.3,0.23,0.17,0.2,0.2
"2005","Kec. Gadingrejo ","Pringsewu","Kalimantan Utara",0.12,0.23,0.29,0.17,0.4
"2006","Kec. Pardasuka ","Pringsewu","Kalimantan Utara",0.47,0,0,1,0
"2007","Kec. Capkala ","Bengkayang","Jawa Timur",0,1,0,0,0
"2008","Kec. Samalantan ","Bengkayang","Jawa Timur",0.28,0.17,0.17,0.2,0.25
"2009","Kec. Bengkayang ","Bengkayang","Jawa Timur",0.01,0.3,0.36,0,0.4
"2010","Kec. Ledo ","Bengkayang","Jawa Timur",0.18,0.5,0,0.5,0
"2011","Kec. Jagoi Babang ","Bengkayang","Jawa Timur",1,0.67,0,1,0
"2012","Kec. Lumar ","Bengkayang","Jawa Timur",0,0,0,1,0
"2013","Kec. Sungai Betung ","Bengkayang","Jawa Timur",1,0,0.33,0,0.5
"2014","Kec. Sungai Raya Kepulauan ","Bengkayang","Jawa Timur",0.08,0.33,0.33,0,0.5
"2015","Kec. Lembah Bawang ","Bengkayang","Jawa Timur",1,1,0,1,0
"2016","Kec. Ngabang ","Landak","Jawa Timur",0.24,0.21,0.35,0.18,0.33
"2017","Kec. Sengah Temila ","Landak","Jawa Timur",0.16,0.09,0.33,0.11,0.42
"2018","Kec. Mandor ","Landak","Jawa Timur",0.35,0.5,0.5,0.25,0.29
"2019","Kec. Mempawah Hulu ","Landak","Jawa Timur",0.08,0,0.44,0,0.5
"2020","Kec. Kuala Behe ","Landak","Jawa Timur",0,0,0.33,0,0.25
"2021","Kec. Air Besar ","Landak","Jawa Timur",0,0,0.33,0,0.25
"2022","Kec. Jelimpo ","Landak","Jawa Timur",0,0,0.2,0,0.5
"2023","Kec. Sompak ","Landak","Jawa Timur",0,0,0.33,0,0.17
"2024","Kec. Sekadau Hulu ","Sekadau","Jawa Timur",0,0,0.17,0,0.5
"2025","Kec. Sekadau Hilir ","Sekadau","Jawa Timur",0,0,0.17,0,0.2
"2026","Kec. Belitang Hulu ","Sekadau","Jawa Timur",0,0,0.2,0,0.5
"2027","Kec. Sungai Pinyuh ","Mempawah","Jawa Timur",0.26,0.25,0.5,0.25,0.5
"2028","Kec. Mempawah Hilir ","Mempawah","Jawa Timur",0,0,0.14,0,0.25
"2029","Kec. Sungai Kunyit ","Mempawah","Jawa Timur",0,0,0.25,0,0.5
"2030","Kec. Anjongan ","Mempawah","Jawa Timur",0.12,0.33,0,0,0
"2031","Kec. Sadaniang ","Mempawah","Jawa Timur",0,0,0.5,0,0.5
"2032","Kec. Jangkang ","Sanggau","Jawa Timur",0,0,0.33,0,0.5
"2033","Kec. Bonti ","Sanggau","Jawa Timur",0.17,0,0,0,0
"2034","Kec. Parindu ","Sanggau","Jawa Timur",0,0,0.5,0,0.5
"2035","Kec. Kembayan ","Sanggau","Jawa Timur",0,0,0.25,0,0.2
"2036","Kec. Noyan ","Sanggau","Jawa Timur",1,1,0,1,0
"2037","Kec. Kapuas ","Sanggau","Jawa Timur",0.19,0.23,0.17,0.2,0.25
"2038","Kec. Serawai ","Sintang","Jawa Timur",0.75,0.33,0.33,1,0.5
"2039","Kec. Kayan Hulu ","Sintang","Jawa Timur",1,0.5,0,0.5,0
"2040","Kec. Sepauk ","Sintang","Jawa Timur",0.89,1,1,0.33,0.5
"2041","Kec. Tempunak ","Sintang","Jawa Timur",0.25,0,0,0.25,0
"2042","Kec. Sintang ","Sintang","Jawa Timur",0.22,0.21,0.21,0.27,0.15
"2043","Kec. Kayan Hilir ","Sintang","Jawa Timur",0.24,0.5,0,0.33,0
"2044","Kec. Kelam Permai ","Sintang","Jawa Timur",0.26,0.5,0.5,0,0.17
"2045","Kec. Ketungau Tengah ","Sintang","Jawa Timur",0,0,0.25,0,0.5
"2046","Kec. Ketungau Hulu ","Sintang","Jawa Timur",0,0,0.33,0,0.5
"2047","Kec. Singkawang Selatan ","Singkawang","Jawa Timur",0.03,0,0.1,0,0.12
"2048","Kec. Singkawang Timur ","Singkawang","Jawa Timur",0.31,0.5,0.25,0.33,0.17
"2049","Kec. Singkawang Utara ","Singkawang","Jawa Timur",0,0,0.14,0,0.25
"2050","Kec. Singkawang Barat ","Singkawang","Jawa Timur",0.2,0,0.2,0.2,0.38
"2051","Kec. Singkawang Tengah ","Singkawang","Jawa Timur",0,0,0.36,0,0.5
"2052","Kec. Silat Hulu ","Kapuas Hulu","Jawa Timur",0.6,0.5,0.67,1,1
"2053","Kec. Hulu Gurung ","Kapuas Hulu","Jawa Timur",0,0,0.33,0,0.5
"2054","Kec. Bunut Hulu ","Kapuas Hulu","Jawa Timur",0,0,0.33,0,0.25
"2055","Kec. Mentebah ","Kapuas Hulu","Jawa Timur",1,1,1,1,0.5
"2056","Kec. Kalis ","Kapuas Hulu","Jawa Timur",0.08,1,0,0,0
"2057","Kec. Bunut Hilir ","Kapuas Hulu","Jawa Timur",0.6,1,0,1,0
"2058","Kec. Boyan Tanjung ","Kapuas Hulu","Jawa Timur",0.81,1,0,1,0
"2059","Kec. Selimbau ","Kapuas Hulu","Jawa Timur",0.29,0.67,0,0.5,0
"2060","Kec. Badau ","Kapuas Hulu","Jawa Timur",0.6,1,1,0.5,0.5
"2061","Kec. Embaloh Hulu ","Kapuas Hulu","Jawa Timur",0.75,1,0,1,0
"2062","Kec. Putussibau Utara ","Kapuas Hulu","Jawa Timur",0.17,0.14,0.14,0.25,0.25
"2063","Kec. Jongkong ","Kapuas Hulu","Jawa Timur",0,0.33,0,0,0
"2064","Kec. Putussibau Selatan ","Kapuas Hulu","Jawa Timur",0,0.25,0,0,0
"2065","Kec. Pengkadan ","Kapuas Hulu","Jawa Timur",1,1,0,1,0
"2066","Kec. Selakau ","Sambas","Jawa Timur",0,0,0.17,0,0.25
"2067","Kec. Pemangkat ","Sambas","Jawa Timur",0.24,0.12,0.3,0.25,0.5
"2068","Kec. Tebas ","Sambas","Jawa Timur",0.23,0,0.18,0,0.2
"2069","Kec. Sambas ","Sambas","Jawa Timur",0.05,0,0.13,0,0.1
"2070","Kec. Jawai ","Sambas","Jawa Timur",0.94,0,0.67,1,1
"2071","Kec. Teluk Keramat ","Sambas","Jawa Timur",0.06,0.06,0,0.17,0
"2072","Kec. Paloh ","Sambas","Jawa Timur",0,0.14,0.14,0,0.17
"2073","Kec. Semparuk ","Sambas","Jawa Timur",0.06,0,0,0,0
"2074","Kec. Tekarang ","Sambas","Jawa Timur",0.07,0,0,0,0
"2075","Kec. Sajad ","Sambas","Jawa Timur",1,1,0,1,0
"2076","Kec. Jawai Selatan ","Sambas","Jawa Timur",0.15,1,0,0,0
"2077","Kec. Salatiga ","Sambas","Jawa Timur",1,1,0,1,0
"2078","Kec. Nanga Pinoh ","Melawi","Jawa Timur",0.1,0.11,0.33,0.18,0.67
"2079","Kec. Belimbing ","Melawi","Jawa Timur",0.14,0.2,0.2,0,0.5
"2080","Kec. Belimbing Hulu ","Melawi","Jawa Timur",0.06,0,0,0,0
"2081","Kec. Pinoh Selatan ","Melawi","Jawa Timur",0,0.5,0,0,0
"2082","Kec. Pinoh Utara ","Melawi","Jawa Timur",0,0,0.25,0,0.25
"2083","Kec. Simpang Hilir ","Kayong Utara","Jawa Timur",0.34,0.3,0.3,0.25,0.21
"2084","Kec. Teluk Batang ","Kayong Utara","Jawa Timur",0.12,0.33,0.33,0,0.5
"2085","Kec. Seponti ","Kayong Utara","Jawa Timur",0.11,0.2,0.33,0,0.5
"2086","Kec. Kuala Mandor B ","Kuburaya","0",0.1,0,0,0.2,0
"2087","Kec. Sungai Ambawang ","Kuburaya","0",0.08,0,0.29,0.08,0.25
"2088","Kec. Sungai Kakap ","Kuburaya","0",0.01,0.14,0.14,0,0.14
"2089","Kec. Telok Pakedai ","Kuburaya","0",0,0,0.25,0,0.5
"2090","Kec. Terentang ","Kuburaya","0",0,0.5,0.5,0,0.5
"2091","Kec. Sungai Raya ","Kuburaya","0",0.06,0.11,0.17,0.11,0.23
"2092","Kec. Batu Ampar ","Kuburaya","0",0.17,0,0.25,0,0.5
"2093","Kec. Kubu ","Kuburaya","0",0,0,0.11,0,0.25
"2094","Kec. Rasau Jaya ","Kuburaya","0",0.15,0.4,0,0.33,0
"2095","Kec. Pontianak Selatan ","Pontianak","Jawa Timur",0,0.11,0.14,0,0.16
"2096","Kec. Pontianak Timur ","Pontianak","Jawa Timur",0.25,0.43,0.56,0.4,0.5
"2097","Kec. Pontianak Barat ","Pontianak","Jawa Timur",0,0.38,0.38,0,0.25
"2098","Kec. Pontianak Utara ","Pontianak","Jawa Timur",0.12,0,0.5,0,0.12
"2099","Kec. Pontianak ","Pontianak","Jawa Timur",0.04,0,0.22,0.08,0.23
"2100","Kec. Pontianak Tenggara ","Pontianak","Jawa Timur",0.04,0,0.1,0.11,0.11
"2101","Kec. Marau ","Ketapang","Jawa Timur",0,0,0.33,0,0.5
"2102","Kec. Matan Hilir Utara ","Ketapang","Jawa Timur",1,1,1,1,0.5
"2103","Kec. Nanga Tayap ","Ketapang","Jawa Timur",0.16,0.25,0,0.5,0
"2104","Kec. Sungai Laur ","Ketapang","Jawa Timur",0.08,0,0.33,0,0.5
"2105","Kec. Simpang Hulu ","Ketapang","Jawa Timur",0,0,0.33,0,0.5
"2106","Kec. Muara Pawan ","Ketapang","Jawa Timur",0.5,1,1,0.5,1
"2107","Kec. Delta Pawan ","Ketapang","Jawa Timur",0.3,0.07,0.24,0.14,0.24
"2108","Kec. Benua Kayong ","Ketapang","Jawa Timur",0.06,0,0,0,0
"2109","Kec. Sungai Melayu Rayek ","Ketapang","Jawa Timur",0,0,0.25,0,0.5
"2110","Kec. Dusun Timur ","Barito Timur","Kalimantan Barat",0,0,0.25,0,0.5
"2111","Kec. Awang ","Barito Timur","Kalimantan Barat",0,0,0.33,0,0.5
"2112","Kec. Paju Epat ","Barito Timur","Kalimantan Barat",0.3,0,0.09,0,0.5
"2113","Kec. Raren Batuah ","Barito Timur","Kalimantan Barat",1,0,0,0,0
"2114","Kec. Paku ","Barito Timur","Kalimantan Barat",0,0,0.33,0,1
"2115","Kec. Pahandut ","Palangka Raya","Kalimantan Selatan",0.09,0.11,0.19,0.27,0.18
"2116","Kec. Jekan Raya ","Palangka Raya","Kalimantan Selatan",0.05,0.12,0.04,0,0.06
"2117","Kec. Rakumpit ","Palangka Raya","Kalimantan Selatan",0.45,0,0,0,0
"2118","Kec. Kapuas Timur ","Kapuas","Kalimantan Barat",0.2,0,0,0,0
"2119","Kec. Selat ","Kapuas","Kalimantan Barat",0.22,0.13,0.24,0.17,0.33
"2120","Kec. Basarang ","Kapuas","Kalimantan Barat",0,0,0.25,0,0.5
"2121","Kec. Kapuas Hilir ","Kapuas","Kalimantan Barat",0,0,0.5,0,0.5
"2122","Kec. Kapuas Murung ","Kapuas","Kalimantan Barat",0,0,0.25,0,0.25
"2123","Kec. Kapuas Barat ","Kapuas","Kalimantan Barat",0.05,0.5,0,1,0
"2124","Kec. Mantangai ","Kapuas","Kalimantan Barat",0.19,0.33,0,0.5,0
"2125","Kec. Dadahup ","Kapuas","Kalimantan Barat",0,0,0.33,0,0.5
"2126","Kec. Tamban Catur ","Kapuas","Kalimantan Barat",0,0,0.2,0,0.5
"2127","Kec. Dusun Hilir ","Barito Selatan","Kalimantan Barat",0,0,0.33,0,0.5
"2128","Kec. Jenamas ","Barito Selatan","Kalimantan Barat",0.05,1,1,0.5,0.5
"2129","Kec. Karau Kuala ","Barito Selatan","Kalimantan Barat",0.43,0.25,0,0.5,0
"2130","Kec. Dusun Selatan ","Barito Selatan","Kalimantan Barat",0.2,0.23,0.17,0.22,0.25
"2131","Kec. Dusun Utara ","Barito Selatan","Kalimantan Barat",0.39,0.33,0.33,0.4,1
"2132","Kec. Katingan Kuala ","Katingan","Kalimantan Barat",0.33,0.5,0,0.5,0
"2133","Kec. Tasik Payawan ","Katingan","Kalimantan Barat",1,1,0,1,0
"2134","Kec. Katingan Hilir ","Katingan","Kalimantan Barat",0.44,0.43,0.2,0.25,0.25
"2135","Kec. Pulau Malan ","Katingan","Kalimantan Barat",0,0,0.14,0,0.25
"2136","Kec. Katingan Tengah ","Katingan","Kalimantan Barat",0,0,0.25,0,0.5
"2137","Kec. Marikit ","Katingan","Kalimantan Barat",1,1,0,1,0
"2138","Kec. Sanaman Mantikei ","Katingan","Kalimantan Barat",0,1,1,0.33,0.5
"2139","Kec. Seruyan Hilir ","Seruyan","Kalimantan Selatan",0,0,0.25,0,0.17
"2140","Kec. Danau Sembuluh ","Seruyan","Kalimantan Selatan",0,0,0.25,0,0.5
"2141","Kec. Seruyan Tengah ","Seruyan","Kalimantan Selatan",0.46,0,0,0,0
"2142","Kec. Seruyan Raya ","Seruyan","Kalimantan Selatan",0.1,0,0,0,0
"2143","Kec. Montallat ","Barito Utara","Kalimantan Barat",0.14,0,0.33,0,0.5
"2144","Kec. Teweh Tengah ","Barito Utara","Kalimantan Barat",0.08,0,0.12,0,0.5
"2145","Kec. Lahei Barat ","Barito Utara","Kalimantan Barat",0.33,0,0.5,0,0.25
"2146","Kec. Mentaya Hilir Selatan ","Kotawaringin Timur","Kalimantan Barat",0.04,0,0,0,0
"2147","Kec. Mentawa Baru Ketapang ","Kotawaringin Timur","Kalimantan Barat",0.1,0,0.16,0,0.25
"2148","Kec. Mentaya Hilir Utara ","Kotawaringin Timur","Kalimantan Barat",0.57,0.57,0.4,0.5,0.5
"2149","Kec. ","Kotawaringin Timur","Kalimantan Barat",0,0,0.2,0,0.5
"2150","Kec. Cempaga ","Kotawaringin Timur","Kalimantan Barat",0,0,0.5,0,0.5
"2151","Kec. Parenggean ","Kotawaringin Timur","Kalimantan Barat",0,0,0.25,0,0.5
"2152","Kec. Mentaya Hulu ","Kotawaringin Timur","Kalimantan Barat",0.05,0,0.33,0,0.25
"2153","Kec. Antang Kalang ","Kotawaringin Timur","Kalimantan Barat",0,0,0.5,0,0.5
"2154","Kec. Arut Selatan ","Kotawaringin Barat","Kalimantan Barat",0,0,0.19,0,0.29
"2155","Kec. Arut Utara ","Kotawaringin Barat","Kalimantan Barat",0.5,0.5,0.67,1,1
"2156","Kec. Pangkalan Lada ","Kotawaringin Barat","Kalimantan Barat",0.04,0,0,0,0
"2157","Kec. Bulik ","Lamandau","Kalimantan Selatan",0,0,0.33,0,0.25
"2158","Kec. Lamandau ","Lamandau","Kalimantan Selatan",0,0,0.33,0,0.5
"2159","Kec. Delang ","Lamandau","Kalimantan Selatan",0,0,0.5,0,0.5
"2160","Kec. Belantikan Raya ","Lamandau","Kalimantan Selatan",0.1,0,0.5,0,0.5
"2161","Kec. Tewah ","Gunung Mas","Kalimantan Barat",0.11,0,0.12,0.33,0.2
"2162","Kec. Kurun ","Gunung Mas","Kalimantan Barat",0.11,0,0.38,0.33,0.5
"2163","Kec. Sepang ","Gunung Mas","Kalimantan Barat",0,0,0.33,0,0.5
"2164","Kec. Rungan ","Gunung Mas","Kalimantan Barat",0,0,0.33,0,0.5
"2165","Kec. Kahayan Hulu Utara ","Gunung Mas","Kalimantan Barat",0,0,0.5,0,0.5
"2166","Kec. Manuhing Raya ","Gunung Mas","Kalimantan Barat",0.14,1,0,0,0
"2167","Kec. Kahayan Kuala ","Pulang Pisau","Kalimantan Selatan",0.12,0.25,0.25,0,0.33
"2168","Kec. Pandih Batu ","Pulang Pisau","Kalimantan Selatan",0,0,0.25,0,0.5
"2169","Kec. Maliku ","Pulang Pisau","Kalimantan Selatan",0,0,0.33,0,0.5
"2170","Kec. Kahayan Hilir ","Pulang Pisau","Kalimantan Selatan",0,0,0.14,0,0.17
"2171","Kec. Laung Tuhup ","Murung Raya","Kalimantan Selatan",0.45,0.67,0.75,0.33,0.75
"2172","Kec. Murung ","Murung Raya","Kalimantan Selatan",0.08,0.08,0.15,0.17,0.17
"2173","Kec. Permata Intan ","Murung Raya","Kalimantan Selatan",1,1,0,1,0
"2174","Kec. Tanah Siang ","Murung Raya","Kalimantan Selatan",0.09,0.5,0,0,0
"2175","Kec. Sumber Barito ","Murung Raya","Kalimantan Selatan",0.57,1,1,1,1
"2176","Kec. Aluh-Aluh ","Banjar","Jawa Barat",0,0,0.33,0,0.25
"2177","Kec. Sungai Tabuk ","Banjar","Jawa Barat",0,0,0.33,0,0.5
"2178","Kec. Martapura ","Banjar","Jawa Barat",0,0,0.14,0,0.14
"2179","Kec. Karang Intan ","Banjar","Jawa Barat",0,0,0.5,0,0.25
"2180","Kec. Mataraman ","Banjar","Jawa Barat",0.11,0,0,1,0
"2181","Kec. Beruntung Baru ","Banjar","Jawa Barat",0.08,1,0,1,0
"2182","Kec. Martapura Barat ","Banjar","Jawa Barat",0.25,0,0,0,0
"2183","Kec. Binuang ","Tapin","Kalimantan Barat",0.79,1,1,0.67,0.67
"2184","Kec. Tapin Selatan ","Tapin","Kalimantan Barat",1,1,0,1,0
"2185","Kec. Kandangan ","Hulu Sungai Selatan","Jawa Timur",0,0,0.08,0,0.17
"2186","Kec. Simpur ","Hulu Sungai Selatan","Jawa Timur",0.89,0.75,0,0,0
"2187","Kec. Haruyan ","Hulu Sungai Tengah","Jawa Timur",1,1,1,1,0.5
"2188","Kec. Barabai ","Hulu Sungai Tengah","Jawa Timur",0,0,0.2,0,0.33
"2189","Kec. Labuan Amas Selatan ","Hulu Sungai Tengah","Jawa Timur",0,0,0.25,0,0.5
"2190","Kec. Batang Alai Timur ","Hulu Sungai Tengah","Jawa Timur",0,0,0.5,0,0.5
"2191","Kec. Sungai Loban ","Tanah Bumbu","Kalimantan Barat",0.74,0.5,0,1,0
"2192","Kec. Satui ","Tanah Bumbu","Kalimantan Barat",0.16,0,0,0,0
"2193","Kec. Kusan Hulu ","Tanah Bumbu","Kalimantan Barat",0,1,0,0.17,0
"2194","Kec. Simpang Empat ","Tanah Bumbu","Kalimantan Barat",0.1,0.67,0,0.5,0
"2195","Kec. Karang Bintang ","Tanah Bumbu","Kalimantan Barat",0.29,0,0,0,0
"2196","Kec. Angsana ","Tanah Bumbu","Kalimantan Barat",0.27,0.33,0,0,0
"2197","Kec. Banjarmasin Selatan ","Banjarmasin","Jawa Timur",0,0.08,0.08,0,0.08
"2198","Kec. Banjarmasin Timur ","Banjarmasin","Jawa Timur",0,0,0.08,0,0.1
