"","Kecamatan","Kab.Kota","Provinsi","Kelas.Baik","Kelas.Rusak","Lab.Baik","Lab.Rusak","Perpus.Baik","Perpus.Rusak","UKS.Baik","UKS.Rusak","Toilet.Baik","Toilet.Rusak"
"115","Kec. Cikole ","Sukabumi","Jawa Barat",133,0,18,0,9,0,15,3,60,12
"116","Kec. Cibeureum ","Sukabumi","Jawa Barat",38,0,4,0,2,0,1,1,4,4
"117","Kec. Harjamukti ","Cirebon","Jambi",58,0,6,0,2,0,3,1,12,4
"118","Kec. Lemahwungkuk ","Cirebon","Jambi",62,0,10,0,4,0,9,1,36,4
"119","Kec. Kesambi ","Cirebon","Jambi",182,42,32,6,12,3,17,7,68,28
"120","Kec. Kejaksan ","Cirebon","Jambi",97,0,14,0,6,0,9,3,36,12
"121","Kec. Pondokgede ","Bekasi","Jawa Barat",92,5,13,0,6,0,11,5,44,20
"122","Kec. Jatiasih ","Bekasi","Jawa Barat",169,0,29,0,12,1,15,6,60,24
"123","Kec. Bantargebang ","Bekasi","Jawa Barat",12,29,1,3,2,1,2,0,8,0
"124","Kec. Bekasi Timur ","Bekasi","Jawa Barat",189,21,28,7,13,1,13,11,52,44
"125","Kec. Bekasi Selatan ","Bekasi","Jawa Barat",218,20,29,1,13,0,27,3,108,12
"126","Kec. Bekasi Barat ","Bekasi","Jawa Barat",102,2,21,0,10,0,9,3,36,12
"127","Kec. Bekasi Utara ","Bekasi","Jawa Barat",183,2,32,0,13,0,17,3,68,12
"128","Kec. Jati Sampurna ","Bekasi","Jawa Barat",101,5,15,3,5,1,9,3,36,12
"129","Kec. Medan Satria ","Bekasi","Jawa Barat",138,21,24,7,9,2,12,6,48,24
"130","Kec. Rawalumbu ","Bekasi","Jawa Barat",120,35,22,4,9,1,11,5,44,20
"131","Kec. Mustika Jaya ","Bekasi","Jawa Barat",86,0,19,0,6,1,12,0,48,0
"132","Kec. Pondok Melati ","Bekasi","Jawa Barat",118,6,14,0,8,0,9,3,36,12
"133","Kec. Sawangan ","Depok","Jawa Barat",81,3,5,1,4,1,6,4,24,16
"134","Kec. Pancoran Mas ","Depok","Jawa Barat",175,25,44,6,14,2,16,7,64,28
"135","Kec. Sukmajaya ","Depok","Jawa Barat",142,4,18,4,9,1,13,3,52,12
"136","Kec. Cimanggis ","Depok","Jawa Barat",72,9,13,1,7,1,12,0,48,0
"137","Kec. Beji ","Depok","Jawa Barat",36,12,1,4,2,2,3,3,12,12
"138","Kec. Limo ","Depok","Jawa Barat",11,30,2,3,2,1,6,0,24,0
"139","Kec. Cipayung ","Depok","Jawa Barat",27,0,7,0,3,0,16,0,64,0
"140","Kec. Cilodong ","Depok","Jawa Barat",32,28,7,1,5,1,6,4,24,16
"141","Kec. Cinere ","Depok","Jawa Barat",51,0,7,0,4,0,4,0,16,0
"142","Kec. Tapos ","Depok","Jawa Barat",141,0,12,0,4,0,7,1,28,4
"143","Kec. Bojongsari ","Depok","Jawa Barat",45,30,12,2,3,1,6,2,24,8
"144","Kec. Talegong ","Garut","Jawa Barat",22,1,2,0,5,0,2,0,8,0
"145","Kec. Cisewu ","Garut","Jawa Barat",28,3,2,0,1,0,2,0,8,0
"146","Kec. Bungbulang ","Garut","Jawa Barat",61,3,1,0,3,0,1,1,4,4
"147","Kec. Pakenjeng ","Garut","Jawa Barat",54,13,6,0,6,0,2,0,8,0
"148","Kec. Cikelet ","Garut","Jawa Barat",8,0,1,0,2,0,1,1,4,4
"149","Kec. Pameungpeuk ","Garut","Jawa Barat",38,3,1,0,3,1,0,0,0,0
"150","Kec. Cibalong ","Garut","Jawa Barat",19,10,2,2,4,1,1,1,4,4
"151","Kec. Cisompet ","Garut","Jawa Barat",18,16,2,1,4,2,4,0,16,0
"152","Kec. Peundeuy ","Garut","Jawa Barat",4,14,2,0,2,0,0,0,0,0
"153","Kec. Singajaya ","Garut","Jawa Barat",29,0,4,0,2,0,4,0,16,0
