"","Kecamatan","Kab.Kota","Provinsi","Kelas.Baik","Kelas.Rusak","Lab.Baik","Lab.Rusak","Perpus.Baik","Perpus.Rusak","UKS.Baik","UKS.Rusak","Toilet.Baik","Toilet.Rusak"
"4673","Kec. Kupang Tengah ","Kupang","Nanggroe Aceh Darussalam (NAD)",75,3,12,0,10,0,10,0,40,0
"4674","Kec. Amarasi ","Kupang","Nanggroe Aceh Darussalam (NAD)",62,10,5,1,5,1,2,0,8,0
"4675","Kec. Kupang Timur ","Kupang","Nanggroe Aceh Darussalam (NAD)",59,29,4,2,3,1,0,1,0,4
"4676","Kec. Sulamu ","Kupang","Nanggroe Aceh Darussalam (NAD)",28,0,2,0,3,0,0,0,0,0
"4677","Kec. Fatuleu ","Kupang","Nanggroe Aceh Darussalam (NAD)",40,3,2,2,4,0,1,1,4,4
"4678","Kec. Takari ","Kupang","Nanggroe Aceh Darussalam (NAD)",30,12,3,0,2,0,0,0,0,0
"4679","Kec. Amfoang Selatan ","Kupang","Nanggroe Aceh Darussalam (NAD)",1,11,2,2,1,2,0,0,0,0
"4680","Kec. Amfoang Utara ","Kupang","Nanggroe Aceh Darussalam (NAD)",12,0,3,0,1,0,2,0,8,0
"4681","Kec. Nekamese ","Kupang","Nanggroe Aceh Darussalam (NAD)",18,3,2,0,2,0,0,0,0,0
"4682","Kec. Amabi Oefeto Timur ","Kupang","Nanggroe Aceh Darussalam (NAD)",6,25,1,0,1,1,0,0,0,0
"4683","Kec. Amarasi Selatan ","Kupang","Nanggroe Aceh Darussalam (NAD)",32,0,2,1,3,1,0,0,0,0
"4684","Kec. Amarasi Timur ","Kupang","Nanggroe Aceh Darussalam (NAD)",23,0,4,0,4,0,3,1,12,4
"4685","Kec. Amarasi Barat ","Kupang","Nanggroe Aceh Darussalam (NAD)",6,16,1,1,1,3,0,0,0,0
"4686","Kec. Amfoang Barat Daya ","Kupang","Nanggroe Aceh Darussalam (NAD)",3,2,1,0,1,0,2,0,8,0
"4687","Kec. Amfoang Barat Laut ","Kupang","Nanggroe Aceh Darussalam (NAD)",14,0,0,0,1,0,0,0,0,0
"4688","Kec. Semau Selatan ","Kupang","Nanggroe Aceh Darussalam (NAD)",6,2,1,0,1,0,0,0,0,0
"4689","Kec. Taebenu ","Kupang","Nanggroe Aceh Darussalam (NAD)",28,3,3,0,4,0,4,0,16,0
"4690","Kec. Amabi Oefeto  ","Kupang","Nanggroe Aceh Darussalam (NAD)",1,8,1,0,1,0,0,0,0,0
"4691","Kec. Fatuleu Tengah ","Kupang","Nanggroe Aceh Darussalam (NAD)",20,0,1,0,3,1,6,0,24,0
"4692","Kec. Fatuleu Barat ","Kupang","Nanggroe Aceh Darussalam (NAD)",10,6,2,1,1,1,0,0,0,0
"4693","Kec. Amfoang Timur ","Kupang","Nanggroe Aceh Darussalam (NAD)",18,0,2,0,2,0,0,0,0,0
"4694","Kec. Amfoang Tengah ","Kupang","Nanggroe Aceh Darussalam (NAD)",4,5,0,1,0,1,0,2,0,8
"4695","Kec. Mollo Utara ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",33,1,3,0,2,0,4,0,16,0
"4696","Kec. Mollo Selatan ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",20,23,4,1,1,2,0,0,0,0
"4697","Kec. ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",116,7,12,0,6,0,14,0,56,0
"4698","Kec. Amanuban Barat ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",12,0,0,0,1,0,0,0,0,0
"4699","Kec. Amanuban Selatan ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",18,0,1,0,1,0,0,0,0,0
"4700","Kec. Kuanfatu ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",9,16,1,0,1,0,0,0,0,0
"4701","Kec. Amanuban Tengah ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",43,0,4,0,3,0,2,0,8,0
"4702","Kec. Amanuban Timur ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",22,2,3,0,1,0,1,1,4,4
"4703","Kec. Kie ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",15,3,1,0,2,0,0,0,0,0
"4704","Kec. Amanatun Selatan ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",39,0,0,0,2,0,0,0,0,0
"4705","Kec. Amanatun Utara ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",19,0,2,0,1,0,0,0,0,0
"4706","Kec. Polen ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",0,9,0,1,0,1,1,1,4,4
"4707","Kec. BatuPutih ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",21,0,2,0,2,0,0,0,0,0
"4708","Kec. Boking ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",8,0,0,1,1,0,0,0,0,0
"4709","Kec. Noebana ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",11,6,0,1,0,1,1,1,4,4
"4710","Kec. Nunkolo ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",2,4,0,0,0,0,0,0,0,0
"4711","Kec. Kot`Olin ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",0,5,0,0,0,0,0,0,0,0
"4712","Kec. Oenino ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",4,0,0,0,0,0,0,0,0,0
"4713","Kec. Kolbano ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",0,13,1,0,0,1,0,1,0,4
"4714","Kec. Kualin ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",23,0,3,0,5,0,2,0,8,0
"4715","Kec. Toianas ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",14,0,0,0,2,0,0,0,0,0
"4716","Kec. Kok Baun ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",5,0,0,0,1,0,0,0,0,0
"4717","Kec. Tobu ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",8,0,1,0,1,0,1,0,4,0
"4718","Kec. Nunbena ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",0,6,1,0,1,0,0,0,0,0
"4719","Kec. Kuatnana ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",18,0,1,0,1,0,0,0,0,0
"4720","Kec. Noebeba ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",3,1,0,0,0,0,0,0,0,0
"4721","Kec. Fatukopa ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",0,1,0,0,0,0,0,0,0,0
"4722","Kec. Santian ","Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",15,0,3,0,2,0,1,1,4,4
"4723","Kec. Naga Wutung ","Lembata","Nanggroe Aceh Darussalam (NAD)",16,0,3,0,1,0,2,0,8,0
"4724","Kec. Ile Ape ","Lembata","Nanggroe Aceh Darussalam (NAD)",5,9,1,1,1,1,2,0,8,0
"4725","Kec. Lebatukan ","Lembata","Nanggroe Aceh Darussalam (NAD)",0,5,0,2,0,2,0,2,0,8
"4726","Kec. Nubatukan ","Lembata","Nanggroe Aceh Darussalam (NAD)",93,3,12,0,6,1,5,1,20,4
"4727","Kec. Omesuri ","Lembata","Nanggroe Aceh Darussalam (NAD)",12,0,4,0,1,0,2,0,8,0
"4728","Kec. Buyasuri ","Lembata","Nanggroe Aceh Darussalam (NAD)",5,0,1,0,1,0,0,0,0,0
"4729","Kec. Wulandoni ","Lembata","Nanggroe Aceh Darussalam (NAD)",8,1,2,1,0,1,2,0,8,0
"4730","Kec. Ile Ape Timur ","Lembata","Nanggroe Aceh Darussalam (NAD)",0,5,1,0,1,0,0,0,0,0
"4731","Kec. Rote Barat Daya ","Rote-Ndao",NA,21,2,1,0,1,0,2,0,8,0
"4732","Kec. Rote Barat Laut ","Rote-Ndao",NA,26,0,3,0,3,0,1,1,4,4
"4733","Kec. Lobalain ","Rote-Ndao",NA,55,0,6,0,3,0,1,1,4,4
"4734","Kec. Rote Tengah ","Rote-Ndao",NA,0,12,3,0,1,0,2,0,8,0
"4735","Kec. Pantai Baru ","Rote-Ndao",NA,27,0,1,0,2,0,0,0,0,0
"4736","Kec. Rote Timur ","Rote-Ndao",NA,23,0,2,0,1,0,2,0,8,0
"4737","Kec. Rote Barat ","Rote-Ndao",NA,13,0,1,0,1,0,0,1,0,4
"4738","Kec. Rote Selatan ","Rote-Ndao",NA,13,8,2,0,1,0,0,1,0,4
"4739","Kec. Ndao Nuse ","Rote-Ndao",NA,14,0,1,0,0,0,0,0,0,0
"4740","Kec. Komodo ","Manggarai Barat","Nanggroe Aceh Darussalam (NAD)",97,0,7,0,6,0,6,0,24,0
"4741","Kec. Sano Nggoang ","Manggarai Barat","Nanggroe Aceh Darussalam (NAD)",48,0,7,0,7,0,6,0,24,0
"4742","Kec. Lembor ","Manggarai Barat","Nanggroe Aceh Darussalam (NAD)",42,0,1,0,2,0,0,0,0,0
"4743","Kec. Kuwus ","Manggarai Barat","Nanggroe Aceh Darussalam (NAD)",47,20,16,7,3,0,2,0,8,0
"4744","Kec. Macang Pacar ","Manggarai Barat","Nanggroe Aceh Darussalam (NAD)",59,0,2,0,4,0,1,1,4,4
"4745","Kec. Boleng ","Manggarai Barat","Nanggroe Aceh Darussalam (NAD)",20,0,4,0,4,0,0,0,0,0
"4746","Kec. Welak ","Manggarai Barat","Nanggroe Aceh Darussalam (NAD)",20,0,1,0,1,0,0,0,0,0
"4747","Kec. Ndoso ","Manggarai Barat","Nanggroe Aceh Darussalam (NAD)",32,4,3,0,4,0,0,0,0,0
"4748","Kec. Lembor Selatan ","Manggarai Barat","Nanggroe Aceh Darussalam (NAD)",9,19,0,3,1,1,0,0,0,0
"4749","Kec. Mbeliling ","Manggarai Barat","Nanggroe Aceh Darussalam (NAD)",9,0,1,0,1,0,0,0,0,0
"4750","Kec. Alor Barat Daya ","Alor","Nanggroe Aceh Darussalam (NAD)",59,1,11,0,8,1,6,0,24,0
"4751","Kec. Alor Selatan ","Alor","Nanggroe Aceh Darussalam (NAD)",12,0,1,0,2,0,1,1,4,4
"4752","Kec. Alor Timur ","Alor","Nanggroe Aceh Darussalam (NAD)",33,1,1,0,3,0,6,0,24,0
"4753","Kec. Teluk Mutiara ","Alor","Nanggroe Aceh Darussalam (NAD)",92,23,13,2,7,1,11,3,44,12
"4754","Kec. Alor Barat Laut ","Alor","Nanggroe Aceh Darussalam (NAD)",13,0,0,0,3,0,0,0,0,0
"4755","Kec. Pantar ","Alor","Nanggroe Aceh Darussalam (NAD)",18,2,1,3,2,0,1,1,4,4
"4756","Kec. Alor Timur Laut ","Alor","Nanggroe Aceh Darussalam (NAD)",3,0,0,0,0,0,0,0,0,0
"4757","Kec. Alor Tengah Utara ","Alor","Nanggroe Aceh Darussalam (NAD)",12,4,4,0,3,0,0,0,0,0
"4758","Kec. Pantar Barat ","Alor","Nanggroe Aceh Darussalam (NAD)",2,9,0,1,0,1,0,2,0,8
"4759","Kec. Pantar Timur ","Alor","Nanggroe Aceh Darussalam (NAD)",22,0,1,0,2,0,1,1,4,4
"4760","Kec. Pantar Barat Laut ","Alor","Nanggroe Aceh Darussalam (NAD)",3,0,0,0,0,1,0,0,0,0
"4761","Kec. Pantar Tengah ","Alor","Nanggroe Aceh Darussalam (NAD)",6,0,0,0,1,0,2,0,8,0
"4762","Kec. Mataru ","Alor","Nanggroe Aceh Darussalam (NAD)",6,4,0,1,0,1,0,0,0,0
"4763","Kec. Pureman ","Alor","Nanggroe Aceh Darussalam (NAD)",6,0,0,0,1,0,0,0,0,0
"4764","Kec. ","Alor","Nanggroe Aceh Darussalam (NAD)",19,0,2,0,2,0,1,2,4,8
"4765","Kec. Pulau Pura ","Alor","Nanggroe Aceh Darussalam (NAD)",6,0,0,0,2,0,0,0,0,0
"4766","Kec. Lembur ","Alor","Nanggroe Aceh Darussalam (NAD)",12,0,1,0,1,0,0,0,0,0
"4767","Kec. Wulang Gitang ","Flores Timur","Nanggroe Aceh Darussalam (NAD)",27,10,1,3,4,0,4,0,16,0
"4768","Kec. Tanjung Bunga ","Flores Timur","Nanggroe Aceh Darussalam (NAD)",0,14,0,3,0,1,0,2,0,8
"4769","Kec. Larantuka ","Flores Timur","Nanggroe Aceh Darussalam (NAD)",94,0,15,0,5,0,11,1,44,4
"4770","Kec. Solor Barat ","Flores Timur","Nanggroe Aceh Darussalam (NAD)",15,0,4,0,1,0,0,0,0,0
"4771","Kec. Adonara Barat ","Flores Timur","Nanggroe Aceh Darussalam (NAD)",25,0,1,0,1,0,2,0,8,0
"4772","Kec. Adonara Timur ","Flores Timur","Nanggroe Aceh Darussalam (NAD)",49,0,5,0,3,0,0,0,0,0
"4773","Kec. Titehena ","Flores Timur","Nanggroe Aceh Darussalam (NAD)",13,0,1,0,1,0,0,0,0,0
"4774","Kec. Ile Boleng ","Flores Timur","Nanggroe Aceh Darussalam (NAD)",15,0,3,0,1,0,1,1,4,4
"4775","Kec. Witihama ","Flores Timur","Nanggroe Aceh Darussalam (NAD)",15,0,4,0,2,0,1,1,4,4
"4776","Kec. Kelubagolit ","Flores Timur","Nanggroe Aceh Darussalam (NAD)",18,0,0,0,1,0,0,0,0,0
"4777","Kec. Demon Pagong ","Flores Timur","Nanggroe Aceh Darussalam (NAD)",4,2,0,0,1,0,0,0,0,0
"4778","Kec. Lewolema ","Flores Timur","Nanggroe Aceh Darussalam (NAD)",7,2,0,0,0,0,0,0,0,0
"4779","Kec. Adonara ","Flores Timur","Nanggroe Aceh Darussalam (NAD)",9,0,1,0,1,0,0,0,0,0
"4780","Kec. Adonara Tengah ","Flores Timur","Nanggroe Aceh Darussalam (NAD)",9,0,0,0,1,0,2,0,8,0
"4781","Kec. Solor Selatan ","Flores Timur","Nanggroe Aceh Darussalam (NAD)",0,9,0,0,0,1,0,2,0,8
"4782","Kec. Elar ","Manggarai Timur","Nusa Tenggara Barat (NTB)",44,9,4,0,2,0,2,0,8,0
"4783","Kec. ","Manggarai Timur","Nusa Tenggara Barat (NTB)",106,28,19,3,12,5,7,1,28,4
"4784","Kec. Lamba Leda ","Manggarai Timur","Nusa Tenggara Barat (NTB)",17,21,0,1,4,2,3,1,12,4
"4785","Kec. Poco Ranaka ","Manggarai Timur","Nusa Tenggara Barat (NTB)",63,6,5,0,7,1,2,0,8,0
"4786","Kec. Sambi Rampas ","Manggarai Timur","Nusa Tenggara Barat (NTB)",40,6,1,0,4,0,6,2,24,8
"4787","Kec. Borong ","Manggarai Timur","Nusa Tenggara Barat (NTB)",53,59,8,5,4,4,7,3,28,12
"4788","Kec. Rana Mese ","Manggarai Timur","Nusa Tenggara Barat (NTB)",36,1,2,0,7,0,3,1,12,4
"4789","Kec. Poco Ranaka Timur ","Manggarai Timur","Nusa Tenggara Barat (NTB)",27,27,4,1,5,2,0,0,0,0
"4790","Kec. Elar Selatan ","Manggarai Timur","Nusa Tenggara Barat (NTB)",50,5,2,0,6,0,4,0,16,0
"4791","Kec. Hawu Mehara ","Sabu Raijua","Nusa Tenggara Barat (NTB)",30,0,1,0,1,0,0,0,0,0
"4792","Kec. Sabu Tengah ","Sabu Raijua","Nusa Tenggara Barat (NTB)",0,11,0,2,0,1,0,0,0,0
"4793","Kec. Raijua ","Sabu Raijua","Nusa Tenggara Barat (NTB)",13,0,1,0,1,0,0,0,0,0
"4794","Kec. Sabu Liae ","Sabu Raijua","Nusa Tenggara Barat (NTB)",5,14,1,0,2,0,0,0,0,0
"4795","Kec. Sabu Barat ","Sabu Raijua","Nusa Tenggara Barat (NTB)",46,0,3,0,1,0,2,0,8,0
"4796","Kec. Sabu Timur ","Sabu Raijua","Nusa Tenggara Barat (NTB)",24,6,3,0,1,0,2,0,8,0
"4797","Kec. Malaka Barat ","Malaka","Nanggroe Aceh Darussalam (NAD)",160,2,10,0,7,0,4,0,16,0
"4798","Kec. Wewiku ","Malaka","Nanggroe Aceh Darussalam (NAD)",40,19,6,1,5,1,0,0,0,0
"4799","Kec. Weliman ","Malaka","Nanggroe Aceh Darussalam (NAD)",27,0,1,0,2,0,0,0,0,0
"4800","Kec. Rinhat ","Malaka","Nanggroe Aceh Darussalam (NAD)",14,2,2,0,2,0,0,0,0,0
"4801","Kec. Io Kufeu ","Malaka","Nanggroe Aceh Darussalam (NAD)",5,4,1,0,1,0,0,0,0,0
"4802","Kec. Sasitamean ","Malaka","Nanggroe Aceh Darussalam (NAD)",10,0,2,0,1,0,0,1,0,4
"4803","Kec. Laenmanen ","Malaka","Nanggroe Aceh Darussalam (NAD)",9,0,0,0,1,0,0,0,0,0
"4804","Kec. Malaka Timur ","Malaka","Nanggroe Aceh Darussalam (NAD)",34,0,0,0,1,1,0,0,0,0
"4805","Kec. Kobalima Timur ","Malaka","Nanggroe Aceh Darussalam (NAD)",6,0,0,0,1,0,0,0,0,0
"4806","Kec. Kobalima ","Malaka","Nanggroe Aceh Darussalam (NAD)",54,0,11,0,5,0,2,0,8,0
"4807","Kec. Botin Leobele ","Malaka","Nanggroe Aceh Darussalam (NAD)",0,4,0,0,0,0,0,0,0,0
"4808","Kec. Malaka Tengah ","Malaka","Nanggroe Aceh Darussalam (NAD)",156,23,8,0,7,1,0,0,0,0
"4809","Kec. Aimere ","Ngada","Nusa Tenggara Barat (NTB)",0,24,0,2,0,1,1,3,4,12
"4810","Kec. Bajawa ","Ngada","Nusa Tenggara Barat (NTB)",96,8,6,0,3,0,3,1,12,4
"4811","Kec. Golewa ","Ngada","Nusa Tenggara Barat (NTB)",37,1,5,1,3,1,7,1,28,4
"4812","Kec. Golewa Barat ","Ngada","Nusa Tenggara Barat (NTB)",50,0,1,0,1,0,2,0,8,0
"4813","Kec. Riung ","Ngada","Nusa Tenggara Barat (NTB)",9,0,1,0,1,0,0,0,0,0
"4814","Kec. Riung Barat ","Ngada","Nusa Tenggara Barat (NTB)",15,0,2,0,1,0,0,0,0,0
"4815","Kec. Soa ","Ngada","Nusa Tenggara Barat (NTB)",27,1,1,0,1,0,0,0,0,0
"4816","Kec. Jerebuu ","Ngada","Nusa Tenggara Barat (NTB)",9,0,0,0,1,0,0,0,0,0
"4817","Kec. Riung Selatan (Wolomeze) ","Ngada","Nusa Tenggara Barat (NTB)",0,0,0,0,0,0,0,0,0,0
"4818","Kec. Inerie ","Ngada","Nusa Tenggara Barat (NTB)",5,0,1,0,1,0,0,0,0,0
"4819","Kec. Golewa Selatan ","Ngada","Nusa Tenggara Barat (NTB)",7,0,2,0,1,0,0,0,0,0
"4820","Kec. Alak ","Kupang","Nanggroe Aceh Darussalam (NAD)",27,31,5,2,3,2,5,1,20,4
"4821","Kec. Maulafa ","Kupang","Nanggroe Aceh Darussalam (NAD)",116,22,21,2,12,1,15,3,60,12
"4822","Kec. Oebobo ","Kupang","Nanggroe Aceh Darussalam (NAD)",236,33,20,2,13,1,21,5,84,20
"4823","Kec. Kelapa Lima ","Kupang","Nanggroe Aceh Darussalam (NAD)",99,6,9,5,4,1,5,3,20,12
"4824","Kec. ","Kupang","Nanggroe Aceh Darussalam (NAD)",51,0,7,0,5,0,7,1,28,4
"4825","Kec. ","Kupang","Nanggroe Aceh Darussalam (NAD)",35,15,5,2,2,1,3,1,12,4
"4826","Kec. Paga ","Sikka","Nusa Tenggara Barat (NTB)",24,0,2,0,2,0,0,0,0,0
"4827","Kec. Bola ","Sikka","Nusa Tenggara Barat (NTB)",15,0,3,0,1,0,0,0,0,0
"4828","Kec. Talibura ","Sikka","Nusa Tenggara Barat (NTB)",23,0,1,0,1,0,0,0,0,0
"4829","Kec. Kewapante ","Sikka","Nusa Tenggara Barat (NTB)",11,0,2,0,1,0,2,0,8,0
"4830","Kec. Nita ","Sikka","Nusa Tenggara Barat (NTB)",24,0,3,0,1,0,0,0,0,0
"4831","Kec. Alok ","Sikka","Nusa Tenggara Barat (NTB)",150,12,15,2,10,0,21,1,84,4
"4832","Kec. Waigete ","Sikka","Nusa Tenggara Barat (NTB)",11,0,2,0,1,0,2,0,8,0
"4833","Kec. Waiblama ","Sikka","Nusa Tenggara Barat (NTB)",4,0,1,0,1,0,0,0,0,0
"4834","Kec. Alok Timur ","Sikka","Nusa Tenggara Barat (NTB)",50,13,7,3,3,2,5,1,20,4
"4835","Kec. Magependa ","Sikka","Nusa Tenggara Barat (NTB)",6,2,2,0,2,0,0,0,0,0
"4836","Kec. Hewokloang ","Sikka","Nusa Tenggara Barat (NTB)",12,0,1,0,1,0,0,0,0,0
"4837","Kec. Kangae ","Sikka","Nusa Tenggara Barat (NTB)",4,0,0,0,0,0,0,0,0,0
"4838","Kec. Nangapanda ","Ende","Nanggroe Aceh Darussalam (NAD)",15,7,2,1,1,1,0,2,0,8
"4839","Kec. Ende Selatan ","Ende","Nanggroe Aceh Darussalam (NAD)",14,0,1,0,1,0,1,1,4,4
"4840","Kec. Wolowaru ","Ende","Nanggroe Aceh Darussalam (NAD)",31,4,5,0,2,0,0,0,0,0
"4841","Kec. Maurole ","Ende","Nanggroe Aceh Darussalam (NAD)",25,2,3,0,3,0,0,0,0,0
"4842","Kec. Detusoko ","Ende","Nanggroe Aceh Darussalam (NAD)",9,0,1,0,1,0,0,0,0,0
"4843","Kec. Wewaria ","Ende","Nanggroe Aceh Darussalam (NAD)",0,8,0,0,0,1,0,0,0,0
"4844","Kec. Wolojita ","Ende","Nanggroe Aceh Darussalam (NAD)",3,4,0,1,0,1,0,0,0,0
"4845","Kec. Pulau Ende ","Ende","Nanggroe Aceh Darussalam (NAD)",2,6,0,0,1,0,0,0,0,0
"4846","Kec. Lio Timur ","Ende","Nanggroe Aceh Darussalam (NAD)",5,0,2,0,2,0,0,0,0,0
"4847","Kec. Ende Utara ","Ende","Nanggroe Aceh Darussalam (NAD)",30,43,6,2,2,1,3,3,12,12
"4848","Kec. Ende Tengah ","Ende","Nanggroe Aceh Darussalam (NAD)",95,3,13,0,8,0,7,1,28,4
"4849","Kec. Ende Timur ","Ende","Nanggroe Aceh Darussalam (NAD)",40,0,5,0,2,0,6,0,24,0
"4850","Kec. Miomafo Barat ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",19,2,2,0,1,0,0,0,0,0
"4851","Kec. Miomafo Timur ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",18,0,2,0,1,0,0,0,0,0
"4852","Kec. ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",109,17,11,2,6,1,11,1,44,4
"4853","Kec. Insana ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",18,0,1,0,1,0,0,0,0,0
"4854","Kec. Biboki Selatan ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",7,12,1,3,0,1,0,0,0,0
"4855","Kec. Biboki Utara ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",23,0,2,0,1,0,0,0,0,0
"4856","Kec. Noemuti ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",22,0,2,0,2,0,4,0,16,0
"4857","Kec. Insana Utara ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",14,0,2,0,2,0,2,0,8,0
"4858","Kec. Biboki Anleu ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0,14,0,1,0,1,0,0,0,0
"4859","Kec. Noemuti Timur ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",5,0,2,0,1,0,0,0,0,0
"4860","Kec. Miomafo Tengah ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",6,4,1,0,5,0,0,0,0,0
"4861","Kec. Mutis ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",7,0,3,0,1,0,2,0,8,0
"4862","Kec. Bikomi Tengah ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",2,10,0,2,0,2,0,0,0,0
"4863","Kec. Bikomi Nilulat ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",6,0,0,1,0,0,0,0,0,0
"4864","Kec. Bikomi Utara ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",4,0,1,0,1,0,0,0,0,0
"4865","Kec. Naibenu ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",4,6,1,0,1,0,0,0,0,0
"4866","Kec. Insana Fafinesu ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",4,6,1,1,1,0,0,0,0,0
"4867","Kec. Insana Barat ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",12,0,0,0,1,0,0,0,0,0
"4868","Kec. Insana Tengah ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",24,0,1,0,1,0,0,0,0,0
"4869","Kec. Biboki Tanpah ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",7,6,2,0,1,0,0,0,0,0
"4870","Kec. Biboki Moenleu ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",10,6,2,0,1,0,2,0,8,0
"4871","Kec. Tasifeto Barat ","Belu","Nanggroe Aceh Darussalam (NAD)",80,47,11,4,5,1,1,3,4,12
"4872","Kec. ","Belu","Nanggroe Aceh Darussalam (NAD)",87,32,7,1,5,1,2,3,8,12
"4873","Kec. Tasifeto Timur ","Belu","Nanggroe Aceh Darussalam (NAD)",23,0,3,0,2,0,0,0,0,0
"4874","Kec. Lamakmen ","Belu","Nanggroe Aceh Darussalam (NAD)",31,0,4,0,3,0,0,0,0,0
"4875","Kec. Kakuluk Mesak ","Belu","Nanggroe Aceh Darussalam (NAD)",18,0,1,0,1,0,0,0,0,0
"4876","Kec. Rai Manuk ","Belu","Nanggroe Aceh Darussalam (NAD)",7,0,0,0,1,0,0,0,0,0
"4877","Kec. Lasiolat ","Belu","Nanggroe Aceh Darussalam (NAD)",8,6,2,0,1,1,0,0,0,0
"4878","Kec. Atambua Barat ","Belu","Nanggroe Aceh Darussalam (NAD)",73,19,10,1,6,1,1,1,4,4
"4879","Kec. Atambua Selatan ","Belu","Nanggroe Aceh Darussalam (NAD)",7,0,0,0,1,0,0,0,0,0
"4880","Kec. Aesesa ","Nagakeo",NA,76,24,7,3,6,0,5,3,20,12
"4881","Kec. Boawae ","Nagakeo",NA,70,9,4,2,4,0,3,1,12,4
"4882","Kec. Keo Tengah ","Nagakeo",NA,17,12,4,1,1,2,1,1,4,4
"4883","Kec. Mauponggo ","Nagakeo",NA,19,19,0,1,0,1,0,0,0,0
"4884","Kec. Nangaroro ","Nagakeo",NA,14,0,1,0,1,0,2,0,8,0
"4885","Kec. Wolowae ","Nagakeo",NA,18,0,2,0,1,0,0,0,0,0
"4886","Kec. Katiku Tana ","Sumba Tengah","Nusa Tenggara Barat (NTB)",41,0,1,0,1,0,1,1,4,4
"4887","Kec. Mamboro ","Sumba Tengah","Nusa Tenggara Barat (NTB)",0,9,0,1,0,1,0,0,0,0
"4888","Kec. Umbu Ratu Nggay Barat ","Sumba Tengah","Nusa Tenggara Barat (NTB)",15,2,7,0,0,1,0,0,0,0
"4889","Kec. Katiku Tana Selatan ","Sumba Tengah","Nusa Tenggara Barat (NTB)",18,19,0,4,0,2,0,0,0,0
"4890","Kec. Kodi ","Sumba Barat Daya","Nusa Tenggara Barat (NTB)",33,0,2,0,1,0,2,0,8,0
"4891","Kec. Kodi Bangedo ","Sumba Barat Daya","Nusa Tenggara Barat (NTB)",12,0,3,0,2,0,1,1,4,4
"4892","Kec. Loura ","Sumba Barat Daya","Nusa Tenggara Barat (NTB)",83,0,5,0,3,0,0,0,0,0
"4893","Kec. Wewewa Barat ","Sumba Barat Daya","Nusa Tenggara Barat (NTB)",8,8,3,2,2,1,2,2,8,8
"4894","Kec. Wewewa Selatan ","Sumba Barat Daya","Nusa Tenggara Barat (NTB)",24,0,1,0,1,0,0,0,0,0
"4895","Kec. Wewewa Timur ","Sumba Barat Daya","Nusa Tenggara Barat (NTB)",14,0,3,0,2,0,1,1,4,4
