"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","Perpus.RusakPerc","Toilet.Guru.L.RusakPerc","Toilet.Guru.P.RusakPerc","Toilet.Murid.L.RusakPerc","Toilet.Murid.P.RusakPerc"
"4833","Kec. Waiblama ","Sikka","Nusa Tenggara Barat (NTB)",0,0,0,NA,NA,NA,NA
"4834","Kec. Alok Timur ","Sikka","Nusa Tenggara Barat (NTB)",0.21,0.3,0.4,0.17,0.17,0.17,0.17
"4835","Kec. Magependa ","Sikka","Nusa Tenggara Barat (NTB)",0.25,0,0,NA,NA,NA,NA
"4836","Kec. Hewokloang ","Sikka","Nusa Tenggara Barat (NTB)",0,0,0,NA,NA,NA,NA
"4837","Kec. Kangae ","Sikka","Nusa Tenggara Barat (NTB)",0,NA,NA,NA,NA,NA,NA
"4838","Kec. Nangapanda ","Ende","Nanggroe Aceh Darussalam (NAD)",0.32,0.33,0.5,1,1,1,1
"4839","Kec. Ende Selatan ","Ende","Nanggroe Aceh Darussalam (NAD)",0,0,0,0.5,0.5,0.5,0.5
"4840","Kec. Wolowaru ","Ende","Nanggroe Aceh Darussalam (NAD)",0.11,0,0,NA,NA,NA,NA
"4841","Kec. Maurole ","Ende","Nanggroe Aceh Darussalam (NAD)",0.07,0,0,NA,NA,NA,NA
"4842","Kec. Detusoko ","Ende","Nanggroe Aceh Darussalam (NAD)",0,0,0,NA,NA,NA,NA
"4843","Kec. Wewaria ","Ende","Nanggroe Aceh Darussalam (NAD)",1,NA,1,NA,NA,NA,NA
"4844","Kec. Wolojita ","Ende","Nanggroe Aceh Darussalam (NAD)",0.57,1,1,NA,NA,NA,NA
"4845","Kec. Pulau Ende ","Ende","Nanggroe Aceh Darussalam (NAD)",0.75,NA,0,NA,NA,NA,NA
"4846","Kec. Lio Timur ","Ende","Nanggroe Aceh Darussalam (NAD)",0,0,0,NA,NA,NA,NA
"4847","Kec. Ende Utara ","Ende","Nanggroe Aceh Darussalam (NAD)",0.59,0.25,0.33,0.5,0.5,0.5,0.5
"4848","Kec. Ende Tengah ","Ende","Nanggroe Aceh Darussalam (NAD)",0.03,0,0,0.12,0.12,0.12,0.12
"4849","Kec. Ende Timur ","Ende","Nanggroe Aceh Darussalam (NAD)",0,0,0,0,0,0,0
"4850","Kec. Miomafo Barat ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0.1,0,0,NA,NA,NA,NA
"4851","Kec. Miomafo Timur ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0,0,0,NA,NA,NA,NA
"4852","Kec. ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0.13,0.15,0.14,0.08,0.08,0.08,0.08
"4853","Kec. Insana ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0,0,0,NA,NA,NA,NA
"4854","Kec. Biboki Selatan ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0.63,0.75,1,NA,NA,NA,NA
"4855","Kec. Biboki Utara ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0,0,0,NA,NA,NA,NA
"4856","Kec. Noemuti ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0,0,0,0,0,0,0
"4857","Kec. Insana Utara ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0,0,0,0,0,0,0
"4858","Kec. Biboki Anleu ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",1,1,1,NA,NA,NA,NA
"4859","Kec. Noemuti Timur ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0,0,0,NA,NA,NA,NA
"4860","Kec. Miomafo Tengah ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0.4,0,0,NA,NA,NA,NA
"4861","Kec. Mutis ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0,0,0,0,0,0,0
"4862","Kec. Bikomi Tengah ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0.83,1,1,NA,NA,NA,NA
"4863","Kec. Bikomi Nilulat ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0,1,NA,NA,NA,NA,NA
"4864","Kec. Bikomi Utara ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0,0,0,NA,NA,NA,NA
"4865","Kec. Naibenu ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0.6,0,0,NA,NA,NA,NA
"4866","Kec. Insana Fafinesu ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0.6,0.5,0,NA,NA,NA,NA
"4867","Kec. Insana Barat ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0,NA,0,NA,NA,NA,NA
"4868","Kec. Insana Tengah ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0,0,0,NA,NA,NA,NA
"4869","Kec. Biboki Tanpah ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0.46,0,0,NA,NA,NA,NA
"4870","Kec. Biboki Moenleu ","Timor Tengah Utara","Nusa Tenggara Timur (NTT)",0.38,0,0,0,0,0,0
"4871","Kec. Tasifeto Barat ","Belu","Nanggroe Aceh Darussalam (NAD)",0.37,0.27,0.17,0.75,0.75,0.75,0.75
"4872","Kec. ","Belu","Nanggroe Aceh Darussalam (NAD)",0.27,0.12,0.17,0.6,0.6,0.6,0.6
"4873","Kec. Tasifeto Timur ","Belu","Nanggroe Aceh Darussalam (NAD)",0,0,0,NA,NA,NA,NA
"4874","Kec. Lamakmen ","Belu","Nanggroe Aceh Darussalam (NAD)",0,0,0,NA,NA,NA,NA
"4875","Kec. Kakuluk Mesak ","Belu","Nanggroe Aceh Darussalam (NAD)",0,0,0,NA,NA,NA,NA
"4876","Kec. Rai Manuk ","Belu","Nanggroe Aceh Darussalam (NAD)",0,NA,0,NA,NA,NA,NA
"4877","Kec. Lasiolat ","Belu","Nanggroe Aceh Darussalam (NAD)",0.43,0,0.5,NA,NA,NA,NA
"4878","Kec. Atambua Barat ","Belu","Nanggroe Aceh Darussalam (NAD)",0.21,0.09,0.14,0.5,0.5,0.5,0.5
"4879","Kec. Atambua Selatan ","Belu","Nanggroe Aceh Darussalam (NAD)",0,NA,0,NA,NA,NA,NA
"4880","Kec. Aesesa ","Nagakeo",NA,0.24,0.3,0,0.38,0.38,0.38,0.38
"4881","Kec. Boawae ","Nagakeo",NA,0.11,0.33,0,0.25,0.25,0.25,0.25
"4882","Kec. Keo Tengah ","Nagakeo",NA,0.41,0.2,0.67,0.5,0.5,0.5,0.5
"4883","Kec. Mauponggo ","Nagakeo",NA,0.5,1,1,NA,NA,NA,NA
"4884","Kec. Nangaroro ","Nagakeo",NA,0,0,0,0,0,0,0
"4885","Kec. Wolowae ","Nagakeo",NA,0,0,0,NA,NA,NA,NA
"4886","Kec. Katiku Tana ","Sumba Tengah","Nusa Tenggara Barat (NTB)",0,0,0,0.5,0.5,0.5,0.5
"4887","Kec. Mamboro ","Sumba Tengah","Nusa Tenggara Barat (NTB)",1,1,1,NA,NA,NA,NA
"4888","Kec. Umbu Ratu Nggay Barat ","Sumba Tengah","Nusa Tenggara Barat (NTB)",0.12,0,1,NA,NA,NA,NA
"4889","Kec. Katiku Tana Selatan ","Sumba Tengah","Nusa Tenggara Barat (NTB)",0.51,1,1,NA,NA,NA,NA
"4890","Kec. Kodi ","Sumba Barat Daya","Nusa Tenggara Barat (NTB)",0,0,0,0,0,0,0
"4891","Kec. Kodi Bangedo ","Sumba Barat Daya","Nusa Tenggara Barat (NTB)",0,0,0,0.5,0.5,0.5,0.5
"4892","Kec. Loura ","Sumba Barat Daya","Nusa Tenggara Barat (NTB)",0,0,0,NA,NA,NA,NA
"4893","Kec. Wewewa Barat ","Sumba Barat Daya","Nusa Tenggara Barat (NTB)",0.5,0.4,0.33,0.5,0.5,0.5,0.5
"4894","Kec. Wewewa Selatan ","Sumba Barat Daya","Nusa Tenggara Barat (NTB)",0,0,0,NA,NA,NA,NA
"4895","Kec. Wewewa Timur ","Sumba Barat Daya","Nusa Tenggara Barat (NTB)",0,0,0,0.5,0.5,0.5,0.5
"4896","Kec. Wewewa Utara ","Sumba Barat Daya","Nusa Tenggara Barat (NTB)",0.3,0,0,NA,NA,NA,NA
"4897","Kec. Kodi Utara ","Sumba Barat Daya","Nusa Tenggara Barat (NTB)",0,0,0,0.5,0.5,0.5,0.5
"4898","Kec. ","Sumba Barat Daya","Nusa Tenggara Barat (NTB)",0,0,0,0,0,0,0
"4899","Kec. Wewewa Tengah ","Sumba Barat Daya","Nusa Tenggara Barat (NTB)",0,0,0,0.5,0.5,0.5,0.5
"4900","Kec. Kodi Balaghar ","Sumba Barat Daya","Nusa Tenggara Barat (NTB)",0,0,0,0.5,0.5,0.5,0.5
"4901","Kec. Satarmese ","Manggarai","Nanggroe Aceh Darussalam (NAD)",0.3,0,0,0.17,0.17,0.17,0.17
"4902","Kec. Langke Rembong ","Manggarai","Nanggroe Aceh Darussalam (NAD)",0.14,0.09,0.17,0,0,0,0
"4903","Kec. Ruteng ","Manggarai","Nanggroe Aceh Darussalam (NAD)",0,0,0,0,0,0,0
"4904","Kec. Cibal ","Manggarai","Nanggroe Aceh Darussalam (NAD)",0.07,0,0.25,0.25,0.25,0.25,0.25
"4905","Kec. Reok ","Manggarai","Nanggroe Aceh Darussalam (NAD)",0.13,0,0,NA,NA,NA,NA
"4906","Kec. Satar Mese Barat ","Manggarai","Nanggroe Aceh Darussalam (NAD)",0.5,0,0,NA,NA,NA,NA
"4907","Kec. Rahong Utara ","Manggarai","Nanggroe Aceh Darussalam (NAD)",0.02,NA,0,NA,NA,NA,NA
"4908","Kec. Lelak ","Manggarai","Nanggroe Aceh Darussalam (NAD)",0,0,0,NA,NA,NA,NA
"4909","Kec. Reok Barat ","Manggarai","Nanggroe Aceh Darussalam (NAD)",0,0,0,NA,NA,NA,NA
"4910","Kec. Cibal Barat ","Manggarai","Nanggroe Aceh Darussalam (NAD)",0,0,0,NA,NA,NA,NA
"4911","Kec. Lewa ","Sumba Timur","Nusa Tenggara Barat (NTB)",0,0,0,0.5,0.5,0.5,0.5
"4912","Kec. Paberiwai ","Sumba Timur","Nusa Tenggara Barat (NTB)",0,0,0,0,0,0,0
"4913","Kec. Pahunga Lodu ","Sumba Timur","Nusa Tenggara Barat (NTB)",0.44,0.5,1,NA,NA,NA,NA
"4914","Kec. Rindi ","Sumba Timur","Nusa Tenggara Barat (NTB)",0,0,0,NA,NA,NA,NA
"4915","Kec. Pandawai ","Sumba Timur","Nusa Tenggara Barat (NTB)",0,0,0,NA,NA,NA,NA
"4916","Kec. ","Sumba Timur","Nusa Tenggara Barat (NTB)",0.11,0.24,0.14,0.38,0.38,0.38,0.38
"4917","Kec. Haharu ","Sumba Timur","Nusa Tenggara Barat (NTB)",0,0,0,NA,NA,NA,NA
"4918","Kec. Nggaha Ori Angu ","Sumba Timur","Nusa Tenggara Barat (NTB)",0,0,0,NA,NA,NA,NA
"4919","Kec. Umalulu ","Sumba Timur","Nusa Tenggara Barat (NTB)",0,0,0,0,0,0,0
"4920","Kec. Kahaungu Eti ","Sumba Timur","Nusa Tenggara Barat (NTB)",0.67,NA,1,NA,NA,NA,NA
"4921","Kec. Matawai La Pawu ","Sumba Timur","Nusa Tenggara Barat (NTB)",1,1,NA,NA,NA,NA,NA
"4922","Kec. Wulla Waijelu ","Sumba Timur","Nusa Tenggara Barat (NTB)",0,0,0,NA,NA,NA,NA
"4923","Kec. Kambera ","Sumba Timur","Nusa Tenggara Barat (NTB)",0.02,0,0,0.5,0.5,0.5,0.5
"4924","Kec. Kanatang ","Sumba Timur","Nusa Tenggara Barat (NTB)",0,0,0,NA,NA,NA,NA
"4925","Kec. Lewa Tidahu ","Sumba Timur","Nusa Tenggara Barat (NTB)",0.88,NA,1,NA,NA,NA,NA
"4926","Kec. Loli ","Sumba Barat","Nusa Tenggara Barat (NTB)",0.21,0,0,NA,NA,NA,NA
"4927","Kec. ","Sumba Barat","Nusa Tenggara Barat (NTB)",0,0,0,0.17,0.17,0.17,0.17
"4928","Kec. Wanokaka ","Sumba Barat","Nusa Tenggara Barat (NTB)",0,NA,0,0,0,0,0
"4929","Kec. Lamboya ","Sumba Barat","Nusa Tenggara Barat (NTB)",0,0,0,NA,NA,NA,NA
"4930","Kec. Tana Righu ","Sumba Barat","Nusa Tenggara Barat (NTB)",0.33,0,1,NA,NA,NA,NA
"4931","Kec. Asologaima ","Jaya Wijaya",NA,0.1,0,0,NA,NA,NA,NA
"4932","Kec. Kurulu ","Jaya Wijaya",NA,0,0,0,NA,NA,NA,NA
"4933","Kec. Yalengga ","Jaya Wijaya",NA,1,NA,NA,NA,NA,NA,NA
"4934","Kec. Wamena ","Jaya Wijaya",NA,0.46,0.36,0.2,0.5,0.5,0.5,0.5
"4935","Kec. Bolakme ","Jaya Wijaya",NA,0,NA,NA,NA,NA,NA,NA
"4936","Kec. Hubikiak ","Jaya Wijaya",NA,1,1,1,NA,NA,NA,NA
"4937","Kec. Muliama ","Jaya Wijaya",NA,0,0,0,NA,NA,NA,NA
"4938","Kec. Uwapa ","Nabire","Kabupaten",0.5,1,NA,NA,NA,NA,NA
"4939","Kec. Wanggar ","Nabire","Kabupaten",0,0,0,0,0,0,0
"4940","Kec. Nabire ","Nabire","Kabupaten",0.33,0.17,0.14,0.15,0.15,0.15,0.15
"4941","Kec. Napan ","Nabire","Kabupaten",0,NA,NA,NA,NA,NA,NA
"4942","Kec. Makimi ","Nabire","Kabupaten",0,0,0,NA,NA,NA,NA
"4943","Kec. Teluk Kimi ","Nabire","Kabupaten",0.73,1,1,NA,NA,NA,NA
"4944","Kec. Nabire Barat ","Nabire","Kabupaten",0,0,0,0.5,0.5,0.5,0.5
"4945","Kec. Yaro  ","Nabire","Kabupaten",1,NA,NA,NA,NA,NA,NA
"4946","Kec. Waropen Bawah ","Waropen","Nusa Tenggara Timur (NTT)",1,1,1,1,1,1,1
"4947","Kec. Ureifaisei ","Waropen","Nusa Tenggara Timur (NTT)",0.15,0,0.67,0,0,0,0
"4948","Kec. Supiori Selatan ","Supiori","Nusa Tenggara Timur (NTT)",0.43,0,0.5,0,0,0,0
"4949","Kec. Supiori Timur ","Supiori","Nusa Tenggara Timur (NTT)",0,0,0,NA,NA,NA,NA
"4950","Kec. Kepulauan Aruri ","Supiori","Nusa Tenggara Timur (NTT)",0.08,0,0,NA,NA,NA,NA
"4951","Kec. Supiori Barat ","Supiori","Nusa Tenggara Timur (NTT)",0,NA,0,NA,NA,NA,NA
"4952","Kec. Supiori Utara ","Supiori","Nusa Tenggara Timur (NTT)",0,0,0,NA,NA,NA,NA
"4953","Kec. Waropen Atas ","Memberamo Raya",NA,0,NA,NA,NA,NA,NA,NA
"4954","Kec. Mamberamo Ilir (hilir) ","Memberamo Raya",NA,0,NA,NA,NA,NA,NA,NA
"4955","Kec. Mamberamo Tengah ","Memberamo Raya",NA,0.92,1,0.5,NA,NA,NA,NA
"4956","Kec. Mamberamo Ulu (hulu) ","Memberamo Raya",NA,1,NA,NA,NA,NA,NA,NA
"4957","Kec. Benuki ","Memberamo Raya",NA,0,NA,NA,NA,NA,NA,NA
"4958","Kec. Kenyam ","Nduga","Kabupaten",0,NA,NA,NA,NA,NA,NA
"4959","Kec. Mbuwa ","Nduga","Kabupaten",0,NA,NA,NA,NA,NA,NA
"4960","Kec. Mimika Barat ","Mimika","Kabupaten",1,0,1,NA,NA,NA,NA
"4961","Kec. Mimika Timur ","Mimika","Kabupaten",0.69,NA,0,0.17,0.17,0.17,0.17
"4962","Kec. Mimika Baru ","Mimika","Kabupaten",0.11,0.11,0.09,0,0,0,0
"4963","Kec. Iwaka ","Mimika","Kabupaten",1,1,1,1,1,1,1
"4964","Kec. Wania ","Mimika","Kabupaten",0,NA,0,NA,NA,NA,NA
"4965","Kec. Jair ","Boven Digoel","DT2",0.88,NA,0,NA,NA,NA,NA
"4966","Kec. Mindiptana ","Boven Digoel","DT2",0,NA,0,NA,NA,NA,NA
"4967","Kec. Mandobo ","Boven Digoel","DT2",0,0,0,0,0,0,0
"4968","Kec. Kouh ","Boven Digoel","DT2",NA,NA,NA,NA,NA,NA,NA
"4969","Kec. Yaniruma ","Boven Digoel","DT2",NA,NA,NA,NA,NA,NA,NA
"4970","Kec. Edera ","Mappi","Kabupaten",0.92,1,1,NA,NA,NA,NA
"4971","Kec. Obaa ","Mappi","Kabupaten",0,0,0,NA,NA,NA,NA
"4972","Kec. Assue ","Mappi","Kabupaten",0,0,0,0.5,0.5,0.5,0.5
"4973","Kec. Citakmitak ","Mappi","Kabupaten",0.4,NA,0,NA,NA,NA,NA
"4974","Kec. Ilaga kab. Puncak","Kec. Ilaga kab. Puncak",NA,0.5,NA,1,NA,NA,NA,NA
"4975","Kec. Sinak kab. Puncak","Kec. Sinak kab. Puncak",NA,0,NA,NA,NA,NA,NA,NA
"4976","Kec. Beoga kab. Puncak","Kec. Beoga kab. Puncak",NA,0,NA,NA,NA,NA,NA,NA
"4977","Kec. Kaureh ","Jayapura","Kabupaten",0,NA,0,NA,NA,NA,NA
"4978","Kec. Kemtuk Gresi ","Jayapura","Kabupaten",0,0,0,NA,NA,NA,NA
"4979","Kec. Nimboran ","Jayapura","Kabupaten",1,1,1,NA,NA,NA,NA
"4980","Kec. Nimbokrang ","Jayapura","Kabupaten",1,1,NA,1,1,1,1
"4981","Kec. Demta ","Jayapura","Kabupaten",0,0,0,NA,NA,NA,NA
"4982","Kec. Sentani Barat ","Jayapura","Kabupaten",1,1,1,1,1,1,1
"4983","Kec. Sentani ","Jayapura","Kabupaten",0.34,0.4,0.3,0.43,0.43,0.43,0.43
"4984","Kec. Sentani Timur ","Jayapura","Kabupaten",0,0,0,0.17,0.17,0.17,0.17
"4985","Kec. Yapsi ","Jayapura","Kabupaten",0,0,0,NA,NA,NA,NA
"4986","Kec. Waibu ","Jayapura","Kabupaten",0.86,0.5,0.67,1,1,1,1
"4987","Kec. Numfor Barat ","Biak Numfor","DT2 Kota, Kabupaten  ",0,0,0,0,0,0,0
"4988","Kec. Padaido ","Biak Numfor","DT2 Kota, Kabupaten  ",0,NA,1,NA,NA,NA,NA
"4989","Kec. Biak ","Biak Numfor","DT2 Kota, Kabupaten  ",0.65,0.65,0.8,0.56,0.56,0.56,0.56
"4990","Kec. Samofa ","Biak Numfor","DT2 Kota, Kabupaten  ",0.36,0.5,0.4,0.33,0.33,0.33,0.33
"4991","Kec. Yendidori ","Biak Numfor","DT2 Kota, Kabupaten  ",0.36,0.5,0.5,1,1,1,1
"4992","Kec. Biak Utara ","Biak Numfor","DT2 Kota, Kabupaten  ",0,0,0,NA,NA,NA,NA
"4993","Kec. Warsa ","Biak Numfor","DT2 Kota, Kabupaten  ",0,NA,NA,NA,NA,NA,NA
"4994","Kec. Biak Barat ","Biak Numfor","DT2 Kota, Kabupaten  ",0,0,0,NA,NA,NA,NA
"4995","Kec. Swandiwe ","Biak Numfor","DT2 Kota, Kabupaten  ",0,0,0,NA,NA,NA,NA
"4996","Kec. Bruyandori ","Biak Numfor","DT2 Kota, Kabupaten  ",0,0,0,NA,NA,NA,NA
"4997","Kec. Oridek ","Biak Numfor","DT2 Kota, Kabupaten  ",0.1,0.11,0.14,NA,NA,NA,NA
"4998","Kec. Kanggime ","Tolikara","Nusa Tenggara Timur (NTT)",0,0,0,NA,NA,NA,NA
"4999","Kec. Karubaga ","Tolikara","Nusa Tenggara Timur (NTT)",1,1,1,1,1,1,1
"5000","Kec. Bokondini ","Tolikara","Nusa Tenggara Timur (NTT)",0.67,1,1,NA,NA,NA,NA
"5001","Kec. Kembu ","Tolikara","Nusa Tenggara Timur (NTT)",0,NA,0,NA,NA,NA,NA
"5002","Kec. Mapia ","Dogiyai","Kabupaten",1,1,1,NA,NA,NA,NA
"5003","Kec. Kamu ","Dogiyai","Kabupaten",0,0,0,NA,NA,NA,NA
"5004","Kec. Tigi ","Deiyai","Kabupaten",0.76,0,0,NA,NA,NA,NA
"5005","Kec. Tigi Barat ","Deiyai","Kabupaten",0,0,0,NA,NA,NA,NA
"5006","Kec. Sugapa ","Intan Jaya","Kabupaten",0,0,0,NA,NA,NA,NA
"5007","Kec. Muara Tami ","Jayapura","Kabupaten",0,0,0,NA,NA,NA,NA
"5008","Kec. Abepura ","Jayapura","Kabupaten",0.64,0.25,0.67,0.25,0.25,0.25,0.25
"5009","Kec. Jayapura Selatan ","Jayapura","Kabupaten",0.11,0.25,0.25,0,0,0,0
"5010","Kec. Jayapura Utara ","Jayapura","Kabupaten",0,0,0,0.25,0.25,0.25,0.25
"5011","Kec. Heram ","Jayapura","Kabupaten",0.15,0.15,0.29,0.2,0.2,0.2,0.2
"5012","Kec. Oksibil ","Pegunungan Bintang","Nusa Tenggara Timur (NTT)",0.53,1,0.5,NA,NA,NA,NA
"5013","Kec. Borme ","Pegunungan Bintang","Nusa Tenggara Timur (NTT)",1,NA,1,NA,NA,NA,NA
"5014","Kec. Okbibab ","Pegunungan Bintang","Nusa Tenggara Timur (NTT)",0,0,0,NA,NA,NA,NA
"5015","Kec. Kiwirok ","Pegunungan Bintang","Nusa Tenggara Timur (NTT)",0,NA,0,NA,NA,NA,NA
"5016","Kec. Atsy ","Asmat","Nusa Tenggara Timur (NTT)",0,0,0,NA,NA,NA,NA
"5017","Kec. Agats ","Asmat","Nusa Tenggara Timur (NTT)",0,0,0,0.5,0.5,0.5,0.5
"5018","Kec. Kurima ","Yahukimo","Nusa Tenggara Timur (NTT)",0,0,0,NA,NA,NA,NA
"5019","Kec. Anggruk ","Yahukimo","Nusa Tenggara Timur (NTT)",0,0,NA,NA,NA,NA,NA
"5020","Kec. Dekai ","Yahukimo","Nusa Tenggara Timur (NTT)",0.11,0.67,0.17,0.5,0.5,0.5,0.5
"5021","Kec. Paniai Timur ","Paniai","Nusa Tenggara Timur (NTT)",0,0,0,0,0,0,0
"5022","Kec. Bibida ","Paniai","Nusa Tenggara Timur (NTT)",NA,NA,NA,NA,NA,NA,NA
"5023","Kec. Paniai Barat ","Paniai","Nusa Tenggara Timur (NTT)",0,NA,NA,NA,NA,NA,NA
"5024","Kec. Yatamo ","Paniai","Nusa Tenggara Timur (NTT)",1,1,1,NA,NA,NA,NA
"5025","Kec. Kebo ","Paniai","Nusa Tenggara Timur (NTT)",0,NA,0,NA,NA,NA,NA
"5026","Kec. Aradide ","Paniai","Nusa Tenggara Timur (NTT)",1,1,1,NA,NA,NA,NA
"5027","Kec. Fawi ","Puncak Jaya","Nusa Tenggara Timur (NTT)",NA,NA,NA,NA,NA,NA,NA
"5028","Kec. Mulia ","Puncak Jaya","Nusa Tenggara Timur (NTT)",0,0,0,0.5,0.5,0.5,0.5
"5029","Kec. Ilu ","Puncak Jaya","Nusa Tenggara Timur (NTT)",0,NA,0,NA,NA,NA,NA
"5030","Kec. Makki ","Lanny Jaya","Kabupaten",0.08,0,0,NA,NA,NA,NA
"5031","Kec. Pirime ","Lanny Jaya","Kabupaten",0,NA,NA,NA,NA,NA,NA
"5032","Kec. Tiom ","Lanny Jaya","Kabupaten",0.11,NA,0,NA,NA,NA,NA
"5033","Kec. Balingga ","Lanny Jaya","Kabupaten",0,NA,NA,NA,NA,NA,NA
"5034","Kec. Tiomneri ","Lanny Jaya","Kabupaten",0,NA,NA,NA,NA,NA,NA
"5035","Kec. Kobakma ","Membramo Tengah",NA,0,0,NA,0,0,0,0
"5036","Kec. Ilugwa ","Membramo Tengah",NA,1,NA,NA,NA,NA,NA,NA
"5037","Kec. Kelila ","Membramo Tengah",NA,0,NA,NA,NA,NA,NA,NA
"5038","Kec. Eragayam ","Membramo Tengah",NA,0,NA,NA,NA,NA,NA,NA
"5039","Kec. Welarek ","Yalimo","Nusa Tenggara Timur (NTT)",0.12,NA,NA,NA,NA,NA,NA
"5040","Kec. Apalapsili ","Yalimo","Nusa Tenggara Timur (NTT)",0,0,0,NA,NA,NA,NA
"5041","Kec. Abenaho ","Yalimo","Nusa Tenggara Timur (NTT)",0.5,1,1,1,1,1,1
"5042","Kec. Elelim ","Yalimo","Nusa Tenggara Timur (NTT)",0,NA,NA,NA,NA,NA,NA
"5043","Kec. Yapen Timur ","Kepulauan Yapen","Kabupaten",0.6,1,1,NA,NA,NA,NA
"5044","Kec. Yapen Selatan ","Kepulauan Yapen","Kabupaten",0.5,0.43,0.4,0.5,0.5,0.5,0.5
"5045","Kec. Yapen Barat ","Kepulauan Yapen","Kabupaten",0.9,0,1,NA,NA,NA,NA
"5046","Kec. Poom ","Kepulauan Yapen","Kabupaten",0,0,NA,NA,NA,NA,NA
"5047","Kec. Kimaam ","Merauke","Kabupaten",0,0,0,0,0,0,0
"5048","Kec. Okaba ","Merauke","Kabupaten",1,1,1,NA,NA,NA,NA
"5049","Kec. Kurik ","Merauke","Kabupaten",0,0,0,NA,NA,NA,NA
"5050","Kec. Merauke ","Merauke","Kabupaten",0.4,0.35,0.42,0.56,0.56,0.56,0.56
"5051","Kec. Muting ","Merauke","Kabupaten",0,0,0,NA,NA,NA,NA
"5052","Kec. Semangga ","Merauke","Kabupaten",0,NA,0,NA,NA,NA,NA
"5053","Kec. Tanah Miring ","Merauke","Kabupaten",0,NA,0,NA,NA,NA,NA
"5054","Kec. Jagebob ","Merauke","Kabupaten",0,0,1,NA,NA,NA,NA
"5055","Kec. Pantai Timur ","Sarmi","Nusa Tenggara Timur (NTT)",0,0,0,NA,NA,NA,NA
"5056","Kec. Sarmi ","Sarmi","Nusa Tenggara Timur (NTT)",0,0,0,0.25,0.25,0.25,0.25
"5057","Kec. Bonggo Timur ","Sarmi","Nusa Tenggara Timur (NTT)",0,0,0,NA,NA,NA,NA
"5058","Kec. Waris ","Keerom","Kabupaten",0,0,0,NA,NA,NA,NA
"5059","Kec. Arso ","Keerom","Kabupaten",0.03,0.14,0,0,0,0,0
"5060","Kec. Skanto ","Keerom","Kabupaten",0.05,0,0,0.5,0.5,0.5,0.5
"5061","Kec. Arso Timur ","Keerom","Kabupaten",1,NA,NA,NA,NA,NA,NA
"5062","Kec. Arso Barat ","Keerom","Kabupaten",0,NA,0,NA,NA,NA,NA
"5063","Kec. Teras Terunjam ","Muko-muko",NA,1,0.67,1,0,0,0,0
"5064","Kec. ","Muko-muko",NA,0.07,0.12,0,0,0,0,0
"5065","Kec. Pondok Suguh ","Muko-muko",NA,0,0,0,NA,NA,NA,NA
"5066","Kec. Lubuk Pinang ","Muko-muko",NA,0.06,0.33,1,0,0,0,0
"5067","Kec. Air Rami ","Muko-muko",NA,0,0,0,0,0,0,0
"5068","Kec. Malin Deman ","Muko-muko",NA,0.33,0,0,NA,NA,NA,NA
"5069","Kec. Sungai Rumbai ","Muko-muko",NA,0,NA,0,NA,NA,NA,NA
"5070","Kec. Teramang Jaya ","Muko-muko",NA,0,0,0,NA,NA,NA,NA
"5071","Kec. Penarik ","Muko-muko",NA,0.08,0,0,0,0,0,0
"5072","Kec. Selagan Raya ","Muko-muko",NA,0.17,NA,0,NA,NA,NA,NA
"5073","Kec. Air Dikit ","Muko-muko",NA,1,1,1,NA,NA,NA,NA
"5074","Kec. XIV Koto ","Muko-muko",NA,0,0,0,NA,NA,NA,NA
"5075","Kec. Air Manjunto ","Muko-muko",NA,0.74,0,1,0.5,0.5,0.5,0.5
"5076","Kec. V Koto ","Muko-muko",NA,0.83,0,1,0.5,0.5,0.5,0.5
"5077","Kec. Kepahiang ","Kepahiang","Bengkulu",0.92,1,0.67,0.5,0.5,0.5,0.5
"5078","Kec. Bermani Ilir ","Kepahiang","Bengkulu",0.09,0,0,0.5,0.5,0.5,0.5
"5079","Kec. Tebat Karai ","Kepahiang","Bengkulu",0.69,1,1,1,1,1,1
"5080","Kec. Ujan Mas ","Kepahiang","Bengkulu",0.36,1,1,1,1,1,1
