"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","Perpus.RusakPerc","Toilet.Guru.L.RusakPerc","Toilet.Guru.P.RusakPerc","Toilet.Murid.L.RusakPerc","Toilet.Murid.P.RusakPerc"
"130","Kec. Rawalumbu ","Bekasi","Jawa Barat",0.23,0.15,0.1,0.31,0.31,0.31,0.31
"131","Kec. Mustika Jaya ","Bekasi","Jawa Barat",0,0,0.14,0,0,0,0
"132","Kec. Pondok Melati ","Bekasi","Jawa Barat",0.05,0,0,0.25,0.25,0.25,0.25
"133","Kec. Sawangan ","Depok","Jawa Barat",0.04,0.17,0.2,0.4,0.4,0.4,0.4
"134","Kec. Pancoran Mas ","Depok","Jawa Barat",0.12,0.12,0.12,0.3,0.3,0.3,0.3
"135","Kec. Sukmajaya ","Depok","Jawa Barat",0.03,0.18,0.1,0.19,0.19,0.19,0.19
"136","Kec. Cimanggis ","Depok","Jawa Barat",0.11,0.07,0.12,0,0,0,0
"137","Kec. Beji ","Depok","Jawa Barat",0.25,0.8,0.5,0.5,0.5,0.5,0.5
"138","Kec. Limo ","Depok","Jawa Barat",0.73,0.6,0.33,0,0,0,0
"139","Kec. Cipayung ","Depok","Jawa Barat",0,0,0,0,0,0,0
"140","Kec. Cilodong ","Depok","Jawa Barat",0.47,0.12,0.17,0.4,0.4,0.4,0.4
"141","Kec. Cinere ","Depok","Jawa Barat",0,0,0,0,0,0,0
"142","Kec. Tapos ","Depok","Jawa Barat",0,0,0,0.12,0.12,0.12,0.12
"143","Kec. Bojongsari ","Depok","Jawa Barat",0.4,0.14,0.25,0.25,0.25,0.25,0.25
"144","Kec. Talegong ","Garut","Jawa Barat",0.04,0,0,0,0,0,0
"145","Kec. Cisewu ","Garut","Jawa Barat",0.1,0,0,0,0,0,0
"146","Kec. Bungbulang ","Garut","Jawa Barat",0.05,0,0,0.5,0.5,0.5,0.5
"147","Kec. Pakenjeng ","Garut","Jawa Barat",0.19,0,0,0,0,0,0
"148","Kec. Cikelet ","Garut","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"149","Kec. Pameungpeuk ","Garut","Jawa Barat",0.07,0,0.25,NA,NA,NA,NA
"150","Kec. Cibalong ","Garut","Jawa Barat",0.34,0.5,0.2,0.5,0.5,0.5,0.5
"151","Kec. Cisompet ","Garut","Jawa Barat",0.47,0.33,0.33,0,0,0,0
"152","Kec. Peundeuy ","Garut","Jawa Barat",0.78,0,0,NA,NA,NA,NA
"153","Kec. Singajaya ","Garut","Jawa Barat",0,0,0,0,0,0,0
"154","Kec. Cikajang ","Garut","Jawa Barat",0.06,0.25,0.33,0.4,0.4,0.4,0.4
"155","Kec. Banjarwangi ","Garut","Jawa Barat",0.29,0,0.5,NA,NA,NA,NA
